node_index,s_m,insertion_m,position_error_m,position_error_mm,tangent_error_rad,tangent_error_deg,feasible,solver_success,termination_reason,function_evaluations,objective_value,jacobian_condition,jacobian_effective_rank,minimum_joint_margin_rad,minimum_state_margin,minimum_clearance_m,contact_active,source_magnet_lumen_distance_m,source_magnet_lumen_exclusion_radius_m,source_magnet_lumen_margin_m,source_magnet_lumen_segment_index,source_magnet_lumen_constraint_satisfied,delta_q_norm_rad,delta_insertion_m,attempt_count,chain_rule_relative_error,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,magnet_pose_x,magnet_pose_y,magnet_pose_z,magnet_pose_rx,magnet_pose_ry,magnet_pose_rz,tip_x,tip_y,tip_z,tip_tangent_x,tip_tangent_y,tip_tangent_z,desired_x,desired_y,desired_z,desired_tangent_x,desired_tangent_y,desired_tangent_z
0,0.0,0.025,0.0,0.0,0.03364865104192351,1.927925691010697,1,1,fixed_initial_state_feasible_and_committed,1,3.871188637136372e-07,16438813.182236802,5,4.226702006275165,0.025,nan,0,0.24002036183673248,0.24002036183673248,0.0,33,1,0.0,0.0,1,0.009482841956847596,-0.8563330794749153,-1.9202845676220412,-1.737470984736671,-1.083041076516786,1.5624128895518443,-2.056483300904421,0.24557491131803735,-0.6700278979849775,0.01343264512755138,-3.0779329517530916,0.5753727003166583,0.045033578037756164,0.5005820547675611,-0.6695089478050362,0.013441556889184119,-0.9994339375540411,0.03363773107760265,0.0005545387056087045,0.5005820547675611,-0.6695089478050362,0.013441556889184119,-1.0,0.0,0.0
1,0.00025,0.02521219473007024,3.7727042335547814e-05,0.037727042335547814,0.03325825875215468,1.9055578604524948,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,22,0.00942894076546589,15830673.513209084,5,4.226677454014955,0.024787805269929762,nan,0,0.24006933132634972,0.24002036183673248,4.8969489617245454e-05,33,1,0.00023584525857689407,0.00021219473007023926,1,nan,-0.85644950087814,-1.9203612603934328,-1.737370008134525,-1.0829339837204996,1.5622949094391054,-2.0565078531646312,0.24552758881767553,-0.6701804907243025,0.013432645141620791,-3.078076521113107,0.5755442018859207,0.04498838198115979,0.5003697698104673,-0.6695098986000844,0.013441592255131482,-0.9994469950889769,0.03324755567637785,0.0005514065295011682,0.5003320547675612,-0.6695089478050362,0.013441556889184119,-1.0,0.0,0.0
2,0.0005,0.025456434194982377,4.341270365359414e-05,0.04341270365359414,0.03288268416216485,1.8840390215537215,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,22,0.012490535408123513,15163179.274400106,5,4.226654406249018,0.024543565805017625,nan,0,0.2401213985621032,0.24002036183673248,0.00010103672537073449,33,1,0.00024246838502372628,0.00024423946491213683,1,nan,-0.8565662644692771,-1.9204409686314659,-1.7372664563111089,-1.0828279780313712,1.5621671894620643,-2.0565309009305683,0.2454773059196525,-0.6703365879300228,0.01343264512551512,-3.078226011264899,0.5757195797064105,0.044954666499264974,0.5001254536297116,-0.6695100431153667,0.013441600453417383,-0.9994594132538398,0.03287222700037435,0.0005458482631949827,0.5000820547675612,-0.6695089478050362,0.013441556889184119,-1.0,0.0,0.0
3,0.00075,0.025705494251445485,4.4279459264421436e-05,0.044279459264421436,0.03251609469230024,1.863034992116541,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,25,0.012989270726497658,14516824.699684367,5,4.226631927374031,0.024294505748554518,nan,0,0.24017357776990697,0.24002036183673248,0.00015321593317449422,33,1,0.00023609713200689248,0.00024906005646310736,1,nan,-0.8566805924566943,-1.920518385273559,-1.737166204753062,-1.0827258880320798,1.5620418914656908,-2.0565533798055555,0.24542695766873787,-0.6704883297586932,0.013432645133961196,-3.0783711434001146,0.5758912300732708,0.04492462755188433,0.499876320018548,-0.6695100685091546,0.013441602606811955,-0.9994713983694936,0.03250588158159193,0.0005399110412845999,0.49983205476756115,-0.6695089478050362,0.013441556889184119,-1.0,0.0,0.0
4,0.001,0.025955290443037776,4.441152595383124e-05,0.04441152595383124,0.03215792567929468,1.842513419318956,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,29,0.013066235540230184,13901286.110612767,5,4.226610705289571,0.024044709556962227,nan,0,0.24022474663288815,0.24002036183673248,0.00020438479615567107,33,1,0.00022813530939869923,0.0002497961915922907,1,nan,-0.8567911944599971,-1.920593845886322,-1.7370686901406331,-1.082629211041755,1.5619201840492487,-2.0565746018900155,0.24537764483224792,-0.6706346898029619,0.013432645181748692,-3.0785104353073103,0.5760579300920083,0.04489867470002322,0.4996264522983654,-0.6695100619596639,0.013441596328985955,-0.9994829784660237,0.03214795604590653,0.00053355295571573,0.4995820547675611,-0.6695089478050362,0.013441556889184119,-1.0,0.0,0.0
5,0.00125,0.02620520308827039,4.442851741835792e-05,0.04442851741835792,0.03180709312882418,1.822412194861186,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,28,0.01307805752863346,13315848.176309569,5,4.226589996394058,0.023794796911729612,nan,0,0.2402738373510926,0.24002036183673248,0.00025347551436011306,33,1,0.00021986559734558372,0.0002499126452326153,1,nan,-0.8568977662630174,-1.9206652202815626,-1.736976390056367,-1.0825330338301644,1.561803176325303,-2.0565953107855286,0.245330429457174,-0.6707759604634125,0.013432645128551968,-3.0786462024996903,0.5762184877576487,0.04487014808656711,0.49937646972461003,-0.6695100445498204,0.013441600492143059,-0.9994941970585353,0.03179734732563712,0.0005279672023229907,0.49933205476756115,-0.6695089478050362,0.013441556889184119,-1.0,0.0,0.0
6,0.0015,0.02645512867769361,4.443383444754236e-05,0.04443383444754236,0.03146150329120489,1.802611355722989,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,29,0.013079654505064398,12759379.042622488,5,4.226569715611349,0.023544871322306392,nan,0,0.2403209976384141,0.24002036183673248,0.0003006358016816313,33,1,0.00021318361969013456,0.0002499255894232201,1,nan,-0.856999676673026,-1.9207359167778886,-1.7368851303211579,-1.082442293047822,1.5616887648291786,-2.0566155915682374,0.24528516467081954,-0.6709128332805621,0.01343264512917669,-3.078777643902431,0.5763715435409988,0.044846199034417826,0.4991264750163789,-0.6695100459241281,0.013441592570234423,-0.9995051277271437,0.03145198615244182,0.0005217415191164843,0.4990820547675611,-0.6695089478050362,0.013441556889184119,-1.0,0.0,0.0
7,0.00175,0.026705056493777447,4.443820664267484e-05,0.04443820664267484,0.03112136716593292,1.7831229912849722,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,19,0.013080214562445675,12231139.457443466,5,4.226548475256799,0.023294943506222555,nan,0,0.24037165366776012,0.24002036183673248,0.00035129183102763917,33,1,0.00020610862093153014,0.0002499278160838364,1,nan,-0.8571069224455132,-1.9208052618871834,-1.7367949373214686,-1.0823609167094805,1.5615840637048932,-2.056636831922787,0.24523640443329273,-0.6710445062302184,0.013432669474332914,-3.078894657242726,0.5765290474892868,0.044823741237279814,0.49887647901607673,-0.6695100608110773,0.013441596524965009,-0.9995157693377977,0.03111205913415376,0.0005163540484294302,0.49883205476756115,-0.6695089478050362,0.013441556889184119,-1.0,0.0,0.0
8,0.002,0.02695499202267487,4.4436085445876556e-05,0.04443608544587656,0.03078967666494545,1.7641185254738105,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,28,0.013080683858822929,11727387.105773196,5,4.226529182037204,0.023045007977325133,nan,0,0.24041479719221664,0.24002036183673248,0.0003944353554841684,33,1,0.00019844125811218011,0.0002499355288974221,1,nan,-0.8572011249422911,-1.9208718379386203,-1.7367088928963956,-1.0822768265077995,1.5614781136295284,-2.0566561251423816,0.24519516558876053,-0.671172025813785,0.013432645753210903,-3.079016856744489,0.5766698480344865,0.04480101886422859,0.4986264775602198,-0.6695100341028165,0.013441590642517442,-0.9995260353505817,0.030780579593195252,0.0005104667027516037,0.4985820547675611,-0.6695089478050362,0.013441556889184119,-1.0,0.0,0.0
9,0.0022500000000000003,0.02720492972386569,4.443300643298263e-05,0.04443300643298263,0.030464075239257316,1.7454629379784377,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,21,0.013080579429007162,12440306.351260489,5,4.2265105717832485,0.022795070276134314,nan,0,0.24045957158426,0.24002036183673248,0.00043920974752753583,33,1,0.00019156531168920145,0.00024993770119081937,1,nan,-0.8572956567703172,-1.9209341319451234,-1.7366284648301202,-1.0821948634399927,1.561376390972244,-2.0566747353963377,0.24515228908652126,-0.6712948772871702,0.013432668961725569,-3.0791333817464626,0.5768112860038276,0.044778380333256804,0.4983764752289457,-0.6695100030130227,0.013441591633452994,-0.9995360059460958,0.030455175207049906,0.0005050944805755981,0.49833205476756115,-0.6695089478050362,0.013441556889184119,-1.0,0.0,0.0
10,0.0025000000000000005,0.027454897949628184,4.4400563062845896e-05,0.0444005630628459,0.030143922532004642,1.7271195390531722,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,21,0.013080389635942082,11936535.410246944,5,4.226492625440752,0.02254510205037182,nan,0,0.24049770071775856,0.24002036183673248,0.00047733888102607924,33,1,0.00018544519274043932,0.0002499682257624952,1,nan,-0.8573813247018263,-1.9209966856088543,-1.7365474543135124,-1.08211457887444,1.5612773577571126,-2.0566926817388347,0.2451160657283883,-0.6714143397846396,0.013432645130750764,-3.079249503790083,0.5769396543943138,0.04475483349809871,0.49812644347144003,-0.6695099733074529,0.013441593125105518,-0.9995457063684772,0.03013521259545474,0.0004998421439704982,0.4980820547675611,-0.6695089478050362,0.013441556889184119,-1.0,0.0,0.0
11,0.0027500000000000007,0.02770480157263045,4.4433790178708354e-05,0.044433790178708354,0.029826619580064932,1.7089394190799845,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,18,0.013077584295493189,11457196.865663253,5,4.226476016085732,0.02229519842736955,nan,0,0.24053603248854447,0.24002036183673248,0.0005156706518119891,33,1,0.00018051228817931103,0.00024990362300226707,1,nan,-0.8574654169166047,-1.9210575286820524,-1.7364688624066613,-1.0820375982238795,1.56118023553008,-2.056709291093855,0.24507964041906416,-0.6715303329456472,0.0134326452288277,-3.0793617632616805,0.5770669534083795,0.0447343333715856,0.49787647632109194,-0.6695099901020065,0.013441587031879044,-0.9995552193577609,0.029818101627621642,0.0004942367685513339,0.49783205476756115,-0.6695089478050362,0.013441556889184119,-1.0,0.0,0.0
