simulation_sample,time_s,reference_index,reference_time_s,reference_path_s_m,reference_is_terminal_hold,qp_status,qp_success,qp_iterations,qp_solve_time_s,qp_objective,qp_primal_residual,qp_dual_residual,beam_position_error_m,beam_position_error_mm,beam_tangent_error_rad,beam_tangent_error_deg,beam_feasible,desired_x,desired_y,desired_z,achieved_x,achieved_y,achieved_z,desired_tangent_x,desired_tangent_y,desired_tangent_z,achieved_tangent_x,achieved_tangent_y,achieved_tangent_z,magnet_x,magnet_y,magnet_z,magnet_qx,magnet_qy,magnet_qz,magnet_qw,q1_actual,q1_reference,q1_error,q2_actual,q2_reference,q2_error,q3_actual,q3_reference,q3_error,q4_actual,q4_reference,q4_error,q5_actual,q5_reference,q5_error,q6_actual,q6_reference,q6_error,insertion_actual,insertion_reference,insertion_error,qd1_command,qd1_reference,qd1_error,qd1_acceleration,qd2_command,qd2_reference,qd2_error,qd2_acceleration,qd3_command,qd3_reference,qd3_error,qd3_acceleration,qd4_command,qd4_reference,qd4_error,qd4_acceleration,qd5_command,qd5_reference,qd5_error,qd5_acceleration,qd6_command,qd6_reference,qd6_error,qd6_acceleration,insertion_rate_command,insertion_rate_reference,insertion_rate_error,insertion_rate_acceleration,beam_residual_x_m,beam_residual_instantaneous_x_m,predicted_next_beam_x_m,predicted_next_beam_error_x_m,beam_residual_y_m,beam_residual_instantaneous_y_m,predicted_next_beam_y_m,predicted_next_beam_error_y_m,beam_residual_z_m,beam_residual_instantaneous_z_m,predicted_next_beam_z_m,predicted_next_beam_error_z_m,beam_residual_norm_m,predicted_next_beam_error_m
0,0.0,0,0.0,0.011999995152026391,0,initial,1,0,0.0,nan,nan,nan,0.0006664439432963436,0.6664439432963436,0.08882975350722784,5.089569971151578,1,0.7861328317343406,-0.709934956123621,-0.10000763943384977,0.7861563816480238,-0.709399453955771,-0.10040365756392693,-0.9999995947153475,-0.0006366195422735063,-0.000636619744676599,-0.9960681764374943,0.07037245498689462,-0.053813617863902284,0.5836133417358463,-0.681217904709085,-0.12385767784028442,0.9996192613381715,0.026175942035129844,-0.006712429706114749,-0.005576352548273944,-0.6670321560792564,-0.7193920336390862,0.05235987755982985,-2.508695661941079,-2.4737890769011925,-0.03490658503988664,-1.7138600026865636,-1.731313295206507,0.01745329251994332,-0.507286608104841,-0.507286608104841,0.0,1.5707963233189781,1.5707963233189781,0.0,-2.2901883413268216,-2.2901883413268216,0.0,0.012,0.012,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan,nan
1,0.009999999999999898,1,0.01,0.012000544267738028,0,riccati_dare,1,1,0.2533391658216715,0.0006660245801086425,0.9991838365030682,6.660245801086358e-06,0.0006654037679028648,0.6654037679028648,0.08868415136751055,5.081227583057703,1,0.7861322826188515,-0.7099349564731988,-0.10000763978342767,0.7861552394843033,-0.7094001729716405,-0.10040291407190209,-0.9999995947153475,-0.0006366195422733195,-0.0006366197446765989,-0.9960810837549816,0.07026957009349172,-0.05370905048850953,0.5836177583785201,-0.6812743597882913,-0.12380235824628857,0.9996208244597972,0.026136144148010566,-0.006679059348441016,-0.005522629954097852,-0.6670721560792564,-0.7193936864871476,0.052321530407891226,-2.5086556619410794,-2.473790304459506,-0.034865357481573156,-1.7138200026865635,-1.7313129475699867,0.017492944883423123,-0.507246608104841,-0.5072866493672528,4.0041262411749656e-05,1.570756323318978,1.5707959060175842,-3.9582698606155375e-05,-2.2901483413268218,-2.2901881243510562,3.978302423446323e-05,0.01200106734400419,0.012000533671994234,5.336720099568398e-07,-0.003999999999999959,-0.0003305694353766216,-0.0036694305646233377,-0.4,0.003999999999999959,-0.0002455115313661917,0.004245511531366151,0.4,0.003999999999999959,6.95272667880387e-05,0.003930472733211921,0.4,0.003999999999999959,-8.252477614042567e-06,0.004008252477614002,0.4,-0.003999999999999959,-8.346023397254447e-05,-0.003916539766027415,-0.4,0.003999999999999959,4.339512983195907e-05,0.003956604870168,0.4,0.00010673440041907841,0.00010673440041907841,0.0,0.01067344004190795,nan,0.00039603325919492074,0.7861552393905269,2.295677167540866e-05,nan,-0.0005354870669963396,-0.7094001717895659,0.0005347846836328829,nan,nan,-0.10040291064179975,-0.00039527085837208487,nan,0.0006654026771003287
2,0.019999999999999796,2,0.02,0.012002191614872941,0,riccati_dare,1,1,0.10914924973621964,0.0006650045649594874,0.9991838365030682,1.3310291340353157e-05,0.000663337221487742,0.663337221487742,0.08839263762225152,5.064525075784308,1,0.7861306352723842,-0.7099349575219321,-0.10000764083216139,0.7861529551712261,-0.7094016153020297,-0.10040142271086624,-0.9999995947153475,-0.000636619542272759,-0.0006366197446765985,-0.9961068623605375,0.07006356555557278,-0.05349967794188424,0.5836265710339075,-0.6813872664929221,-0.1236917033203487,0.9996239341418461,0.026056540614368264,-0.006612318593007594,-0.00541518465192513,-0.6671521560792564,-0.7193986450047977,0.05224648892554129,-2.5085756619410793,-2.473793987114735,-0.03478167482634431,-1.7137400026865635,-1.7313119046660115,0.017571901979448024,-0.507166608104841,-0.5072867731537802,0.00012016504893919144,1.570676323318978,1.570794654120123,-0.00011833080114498351,-2.2900683413268217,-2.290187473427236,0.00011913210041436528,0.012003202032719975,0.012002134688212743,1.0673445072321985e-06,-0.007999999999999919,-0.0006611309105924621,-0.007338869089407457,-0.4,0.007999999999999919,-0.0004910171486733972,0.008491017148673317,0.4,0.007999999999999919,0.0001390528581233998,0.00786094714187652,0.4,0.007999999999999919,-1.650474300270522e-05,0.008016504743002624,0.4,-0.007999999999999919,-0.00016691845186322964,-0.00783308154813669,-0.4,0.007999999999999919,8.67892173985437e-05,0.007913210782601375,0.4,0.00021346887157844537,0.00021346887157844537,0.0,0.010673447115936804,nan,0.0003952890399055013,0.7861529549223502,2.2319649965907296e-05,nan,-0.0005347687783963682,-0.7094016116478984,0.0005333458740337527,nan,nan,-0.10040141709327094,-0.0003937762611095491,nan,0.0006633368163586611
3,0.029999999999999694,3,0.03,0.012004937193431129,0,riccati_dare,1,1,0.10911516612395644,0.0006629586095203157,0.9991838365030682,1.993987650726642e-05,0.0006602335318124271,0.660233531812427,0.08795396015625806,5.0393907084153895,1,0.7861278896949387,-0.7099349592698212,-0.1000076425800509,0.7861495287059554,-0.7094037887018456,-0.10039917533404248,-0.9999995947153475,-0.0006366195422718248,-0.0006366197446765979,-0.9961454951644126,0.0697535395237262,-0.05318454839104355,0.5836397384380593,-0.6815566179007719,-0.12352568159212043,0.9996285572573094,0.02593711592339754,-0.006512207360818774,-0.005254016419460109,-0.6672721560792564,-0.7194069089532319,0.05213475287397551,-2.5084556619410794,-2.4738001246894554,-0.03465553725162396,-1.7136200026865636,-1.7313101665448443,0.017690163858280705,-0.507046608104841,-0.5072869794580569,0.00024037135321586245,1.570556323318978,1.5707925676870766,-0.0002362443680985482,-2.289948341326822,-2.290186388586627,0.0002380472598053629,0.01200640407039177,0.012004803050777729,1.6010196140416738e-06,-0.011999999999999879,-0.0009916446248436157,-0.011008355375156263,-0.4000000000000001,0.011999999999999879,-0.0007364872816266856,0.012736487281626564,0.4000000000000001,0.011999999999999879,0.00020856839674269546,0.011791431603257184,0.4000000000000001,0.011999999999999879,-2.475573503908838e-05,0.012024755735038967,0.4000000000000001,-0.011999999999999879,-0.00025036457326275903,-0.01174963542673712,-0.4000000000000001,0.011999999999999879,0.00013017705137288168,0.011869822948626997,0.4000000000000001,0.0003202037671795437,0.0003202037671795437,0.0,0.010673489560109942,nan,0.0003937962243488073,0.786149528186326,2.163849138725471e-05,nan,-0.0005333279025381423,-0.709403782438782,0.000531176831039204,nan,nan,-0.10039916785426672,-0.0003915252742158204,nan,0.0006602341179400991
4,0.03999999999999959,4,0.04,0.012008781003412593,0,riccati_dare,1,1,0.10886962478980422,0.000659875908761446,0.9991838365030682,2.6538631902844726e-05,0.0006560765771100989,0.6560765771100989,0.08736622309287777,5.005715855220286,1,0.7861240458865152,-0.7099349617168658,-0.10000764502709623,0.7861449600989731,-0.7094067048822436,-0.10039615987549291,-0.9999995947153475,-0.000636619542270517,-0.0006366197446765971,-0.9961969546953,0.0693381134325005,-0.05276223537182828,0.5836571986849945,-0.6817824035919248,-0.12330424586997266,0.9996346441041702,0.02577784682889862,-0.006378725536319994,-0.005039124936620516,-0.6674321560792564,-0.7194184774037646,0.0519863213245082,-2.5082956619410792,-2.473808716493696,-0.03448694544738329,-1.7134600026865636,-1.7313077334019547,0.01784773071539103,-0.506886608104841,-0.5072872682553231,0.0004006601504821239,1.5703963233189782,1.5707896469536546,-0.000393323634676479,-2.2897883413268216,-2.290184869950829,0.0003965286240075194,0.012010673470460231,0.012008538767942232,2.1347025179994927e-06,-0.015999999999999837,-0.0013220070960399284,-0.01467799290395991,-0.3999999999999999,0.015999999999999837,-0.000981845047459237,0.016981845047459074,0.3999999999999999,0.015999999999999837,0.0002780521017611172,0.01572194789823872,0.3999999999999999,0.015999999999999837,-3.300269479325316e-05,0.01603300269479309,0.3999999999999999,-0.015999999999999837,-0.0003337723891069618,-0.015666227610892876,-0.3999999999999999,0.015999999999999837,0.00017354508230510532,0.015826454917694733,0.3999999999999999,0.00042694000684612474,0.00042694000684612474,0.0,0.010673623966658212,nan,0.00039154666574460695,0.7861449591318778,2.0913245362574884e-05,nan,-0.0005311566845178785,-0.7094066963055291,0.0005282654113366592,nan,nan,-0.10039615009142122,-0.0003885050643249871,nan,0.0006560776582482041
5,0.04999999999999949,5,0.05,0.01201372304481733,0,riccati_dare,1,1,0.10838400013744831,0.0006557403007550788,0.9991838365030682,3.309602454191904e-05,0.0006508449714825177,0.6508449714825177,0.08662691714471797,4.963356744621811,1,0.7861191038471134,-0.7099349648630658,-0.10000764817329737,0.7861392494003757,-0.7094103793812652,-0.1003923602810764,-0.9999995947153475,-0.0006366195422688354,-0.000636619744676596,-0.9962611962637314,0.06881545965510111,-0.05223084655274217,0.5836788692146695,-0.6820646096048127,-0.12302733325767672,0.9996421283916181,0.02557870237330146,-0.006211872970926268,-0.004770509801573411,-0.6676321560792564,-0.7194333479418138,0.05180119186255738,-2.5080956619410792,-2.4738197607335235,-0.03427590120755575,-1.7132600026865636,-1.7313046057455632,0.018044603058999575,-0.506686608104841,-0.5072876394812037,0.0006010313763626929,1.5701963233189782,1.5707858925314022,-0.0005895692124240348,-2.2895883413268217,-2.290182917835994,0.0005945765091723842,0.012016010264051085,0.012013341861164133,2.66840288695204e-06,-0.019999999999999796,-0.0016520193201618723,-0.018347980679837922,-0.3999999999999999,0.019999999999999796,-0.0012269425946963963,0.021226942594696194,0.3999999999999999,0.019999999999999796,0.00034746208686172565,0.01965253791313807,0.3999999999999999,0.019999999999999796,-4.124031663070168e-05,0.020041240316630498,0.3999999999999999,-0.019999999999999796,-0.0004170914973493554,-0.01958290850265044,-0.3999999999999999,0.019999999999999796,0.00021686725356085358,0.019783132746438944,0.3999999999999999,0.0005336793590854025,0.0005336793590854025,0.0,0.010673935223927882,nan,0.00038852829815939807,0.7861392477203604,2.014387324700273e-05,nan,-0.0005282434131758985,-0.7094103696983534,0.0005245951647124825,nan,nan,-0.10039234705386402,-0.00038469888056665014,nan,0.0006508449056252508
6,0.05999999999999939,6,0.06,0.012019763317645343,0,riccati_dare,1,1,0.10841370793059468,0.0006505303515020053,0.9991838365030682,3.960130426192826e-05,0.0006445120941497169,0.6445120941497169,0.08573292920756015,4.912135008887062,1,0.7861130635767334,-0.7099349687084215,-0.10000765201865432,0.7861323967267799,-0.709414831579503,-0.10038775652525077,-0.9999995947153475,-0.0006366195422667801,-0.0006366197446765947,-0.9963381515615142,0.0681833052296836,-0.051588027980735376,0.5837046467970003,-0.6824032183776132,-0.12269486517668948,0.9996509272216967,0.025339643919718643,-0.0060116494877246514,-0.004448170552113945,-0.6678721560792564,-0.7194515155524782,0.051579359473221786,-2.5078556619410795,-2.4738332536830816,-0.03402240825799785,-1.7130200026865636,-1.7313007846312056,0.018280781944642,-0.506446608104841,-0.5072880930019967,0.000841484897155742,1.5699563233189782,1.5707813056904507,-0.000824982371472549,-2.289348341326822,-2.29018053289875,0.0008321915719280426,0.012022414511293577,0.01201921237500982,3.202136283757609e-06,-0.023999999999999754,-0.0019813549306174215,-0.022018645069382333,-0.3999999999999999,0.023999999999999754,-0.001471537446919731,0.025471537446919486,0.3999999999999999,0.023999999999999754,0.0004167296584847403,0.023583270341515014,0.3999999999999999,0.023999999999999754,-4.945989931085743e-05,0.02404945989931061,0.3999999999999999,-0.023999999999999754,-0.0005002392386337088,-0.023499760761366045,-0.3999999999999999,0.023999999999999754,0.0002601008322597744,0.02373989916773998,0.3999999999999999,0.0006404247242492079,0.0006404247242492079,0.0,0.010674536516380654,nan,0.00038472506748087385,0.7861323940024076,1.933042567425769e-05,nan,-0.0005245725504419381,-0.7094148224894922,0.0005201462189293737,nan,nan,-0.10038773798730458,-0.00038008596865025945,nan,0.0006445084157620271
7,0.06999999999999929,7,0.07,0.012026901821896632,0,riccati_dare,1,1,0.10841774987056851,0.0006442193835724621,0.9991838365030682,4.6043450211982264e-05,0.0006370462831035009,0.6370462831035009,0.08468057086782124,4.851839317484628,1,0.7861059250753752,-0.7099349732529329,-0.10000765656316707,0.7861244023050042,-0.7094200845767042,-0.10038232469617649,-0.9999995947153475,-0.0006366195422643512,-0.0006366197446765931,-0.9964277192494653,0.0674389511780043,-0.05083097653320937,0.5837344075119981,-0.6827982086749668,-0.12230674739407105,0.999660941066414,0.025060625192046004,-0.005778054887353442,-0.004072106692390086,-0.6681521560792564,-0.7194729711877084,0.05132081510845199,-2.5075756619410794,-2.4738491886200573,-0.03372647332102208,-1.7127400026865636,-1.7312962719633127,0.018556269276749138,-0.506166608104841,-0.5072886285764728,0.0011220204716317905,1.569676323318978,1.5707758887224132,-0.0010995654034351432,-2.289068341326822,-2.2901777163238055,0.0011093749969837141,0.012029886315468528,0.012026150389887417,3.7359255811112574e-06,-0.027999999999999713,-0.0023095283575989283,-0.025690471642400785,-0.3999999999999999,0.027999999999999713,-0.0017152688465310844,0.029715268846530796,0.3999999999999999,0.027999999999999713,0.00048575261401682886,0.027514247385982883,0.3999999999999999,0.027999999999999713,-5.7648497085545605e-05,0.02805764849708526,0.3999999999999999,-0.027999999999999713,-0.0005830926319666048,-0.027416907368033108,-0.3999999999999999,0.027999999999999713,0.00030318224021402704,0.027696817759785684,0.3999999999999999,0.0007471804174951434,0.0007471804174951434,0.0,0.010675569324593662,nan,0.0003801169482373228,0.7861243981205243,1.847304514901449e-05,nan,-0.000520124715653109,-0.7094200786271303,0.0005148946258025644,nan,nan,-0.10038229825788068,-0.00037464169471361497,nan,0.0006370354216959444
8,0.07999999999999918,8,0.08,0.012035138557571197,0,riccati_dare,1,1,0.25118987495079637,0.000636775668736424,0.9991838365030682,5.241111897925992e-05,0.0006284109137219283,0.6284109137219284,0.0834655947557571,4.782226314054139,1,0.7860976883430388,-0.7099349784965998,-0.10000766180683564,0.7861152665144499,-0.7094261651863382,-0.10037603702271648,-0.9999995947153475,-0.0006366195422615485,-0.0006366197446765914,-0.9965297552363234,0.06657927675688795,-0.04995644938507227,0.5837680067260798,-0.6832495554999999,-0.12186287005607446,0.9996720537403431,0.024741592323135952,-0.0055110889550578825,-0.003642317724972888,-0.6684721560792564,-0.7194977000150713,0.05102554393581493,-2.5072556619410795,-2.4738675545245865,-0.03338810741649301,-1.7124200026865635,-1.7312910708638114,0.01887106817724793,-0.5058466081048411,-0.5072892458091852,0.001442637704344163,1.569356323318978,1.5707696453839224,-0.0014133220649443778,-2.288748341326822,-2.2901744700532474,0.0014261287264254463,0.012038425839986005,0.012034156037609664,4.2698023763401705e-06,-0.031999999999999675,-0.002635862987439998,-0.029364137012559677,-0.4000000000000003,0.031999999999999675,-0.0019576340985166312,0.03395763409851631,0.4000000000000003,0.031999999999999675,0.0005543885399803976,0.03144561146001928,0.4000000000000003,0.031999999999999675,-6.57880707974734e-05,0.03206578807079715,0.4000000000000003,-0.031999999999999675,-0.000665480310390003,-0.03133451968960967,-0.4000000000000003,0.031999999999999675,0.0003460228848667839,0.03165397711513289,0.4000000000000003,0.0008539524517477367,0.0008539524517477367,0.0,0.010677203425259435,nan,0.00037468002872907577,0.7861152682431434,1.757990010453625e-05,nan,-0.00051487680892258,-0.7094261092401525,0.0005088692564473307,nan,nan,-0.10037611755777012,-0.0003684557509344849,nan,0.0006285034713043675
9,0.08999999999999908,9,0.09,0.012044473524669036,0,riccati_dare,1,1,0.10750425001606345,0.0006281625056149736,0.9991838365030682,5.869259309559872e-05,0.0006185646670779591,0.6185646670779591,0.08208323462384128,4.703022912728215,1,0.7860883533797244,-0.7099349844394223,-0.10000766774966001,0.7861049899480556,-0.7094331037765258,-0.10036886198018152,-0.9999995947153475,-0.0006366195422583723,-0.0006366197446765893,-0.996644059624524,0.06560076330818053,-0.048960782964862226,0.5838052790646426,-0.6837572299916312,-0.12136310772745093,0.9996841323687564,0.024382483911068367,-0.005210751468920048,-0.00315880318827095,-0.6688321560792564,-0.719525679348109,0.05069352326885257,-2.5068956619410794,-2.4738883345416007,-0.03300732739947865,-1.7120600026865636,-1.7312851861077416,0.01922518342117807,-0.505486608104841,-0.5072899440952915,0.0018033359904504609,1.568996323318978,1.5707625814208108,-0.0017662581018327295,-2.288388341326822,-2.290170797057533,0.0017824557307113409,0.012048033328192601,0.012043229519786383,4.8038084062181075e-06,-0.035999999999999636,-0.002959459321972365,-0.03304054067802727,-0.4000000000000003,0.035999999999999636,-0.0021979649142109337,0.03819796491421057,0.4000000000000003,0.035999999999999636,0.0006224481102228804,0.03537755188977676,0.4000000000000003,0.035999999999999636,-7.385463897871044e-05,0.036073854638978345,0.4000000000000003,-0.035999999999999636,-0.0007471744566538027,-0.035252825543345835,-0.4000000000000003,0.035999999999999636,0.0003885049902307333,0.0356114950097689,0.4000000000000003,0.000960748820659595,0.000960748820659595,0.0,0.010679636891185933,nan,0.0003683865380553706,0.7861049900894156,1.6636709691209006e-05,nan,-0.0005088020165448057,-0.709433050682447,0.0005019337569752702,nan,nan,-0.10036894334031987,-0.0003612755906598625,nan,0.0006186552585303803
