x,y,z
7.981328220229531034e-01,-7.112731669220015984e-01,-1.000000000000000056e-01
7.971328224282377972e-01,-7.112738035415434590e-01,-1.000006366197447039e-01
7.961328228335223800e-01,-7.112744401610853195e-01,-1.000012732394894022e-01
7.951328232388070738e-01,-7.112750767806271801e-01,-1.000019098592341005e-01
7.941328236440917676e-01,-7.112757134001690407e-01,-1.000025464789788127e-01
7.931328240493763504e-01,-7.112763500197109012e-01,-1.000031830987235110e-01
7.921328246963347253e-01,-7.112761743996385277e-01,-1.000038197184682093e-01
7.911328508738790788e-01,-7.112696783931750089e-01,-1.000044563382129076e-01
7.901330605481792224e-01,-7.112498623878255044e-01,-1.000050929579576059e-01
7.891338744611492428e-01,-7.112100969393526650e-01,-1.000057295777023042e-01
7.881361193911017304e-01,-7.111436936084983840e-01,-1.000063661974470025e-01
7.871410181378944992e-01,-7.110454258893296187e-01,-1.000070028171917147e-01
7.861502842931828994e-01,-7.109101761525784546e-01,-1.000076394369364130e-01
7.851661284604316560e-01,-7.107333685984078553e-01,-1.000082760566811113e-01
7.841914308488839858e-01,-7.105103044817181468e-01,-1.000089126764258096e-01
7.832293857127645698e-01,-7.102378870404741917e-01,-1.000095492961705079e-01
7.822835180454600357e-01,-7.099138053570278606e-01,-1.000101859159152062e-01
7.813577536437116278e-01,-7.095361334496844696e-01,-1.000108225356599045e-01
7.804564003481602175e-01,-7.091034234474620224e-01,-1.000114591554046167e-01
7.795842229399371215e-01,-7.086145962186278791e-01,-1.000120957751493150e-01
7.787451424070280792e-01,-7.080709639214493034e-01,-1.000127323948940133e-01
7.779433965833325582e-01,-7.074736519754398767e-01,-1.000133690146387117e-01
7.771830057066508868e-01,-7.068244892903711163e-01,-1.000140056343834100e-01
7.764684723771866359e-01,-7.061251662122799422e-01,-1.000146422541281083e-01
7.758025589443375836e-01,-7.053794194088122138e-01,-1.000152788738728066e-01
7.751877198325887175e-01,-7.045910397304682160e-01,-1.000159154936175188e-01
7.746260037608877491e-01,-7.037639499087375849e-01,-1.000165521133622171e-01
7.741191724068039459e-01,-7.029021103271486659e-01,-1.000171887331069154e-01
7.736682534491398089e-01,-7.020097376343874540e-01,-1.000178253528516137e-01
7.732722861403988901e-01,-7.010916608292652175e-01,-1.000184619725963120e-01
7.729303383405331518e-01,-7.001521075550319884e-01,-1.000190985923410103e-01
7.726407259743760525e-01,-6.991950945730436295e-01,-1.000197352120857086e-01
7.724019455106749810e-01,-6.982241309928570727e-01,-1.000203718318304208e-01
7.722099555271622062e-01,-6.972428353822940350e-01,-1.000210084515751191e-01
7.720608470256353772e-01,-6.962540991134451573e-01,-1.000216450713198174e-01
7.719502305049013025e-01,-6.952602978467604666e-01,-1.000222816910645157e-01
7.718734322779342572e-01,-6.942632932517829314e-01,-1.000229183108092140e-01
7.718248842356564277e-01,-6.932645007775495305e-01,-1.000235549305539123e-01
7.717982149656427149e-01,-6.922648738371769417e-01,-1.000241915502986245e-01
7.717870008837982576e-01,-6.912649441055052080e-01,-1.000248281700433228e-01
7.717843799117383163e-01,-6.902649489487062695e-01,-1.000254647897879934e-01
