s,px,py,pz,qw,qx,qy,qz
0.000000000000000000e+00,7.981328220229531034e-01,-7.112731669220015984e-01,-1.000000000000000056e-01,-1.591549349476097951e-07,9.999998986788191102e-01,3.183098539322571177e-04,3.183098539322571177e-04
2.222222222222222220e-03,7.959106007013634354e-01,-7.112745816320950043e-01,-1.000014147105437456e-01,-1.591655672204323058e-07,9.999999509434915890e-01,2.214721580054196848e-04,2.215018563544463720e-04
4.444444444444444441e-03,7.936883789151989443e-01,-7.112755659525922258e-01,-1.000023991633470360e-01,-1.591735503731773340e-07,9.999999790432619884e-01,1.447377354685646918e-04,1.447910151838939811e-04
6.666666666666666227e-03,7.914661568792586976e-01,-7.112762092313006379e-01,-1.000030426790589760e-01,-1.591792920027560857e-07,9.999999927936944477e-01,8.485402904599783659e-05,8.492572976617376423e-05
8.888888888888888881e-03,7.892439347210924439e-01,-7.112765863602558136e-01,-1.000034201268041323e-01,-1.591836984180463556e-07,9.999999984976227774e-01,3.871737034705104960e-05,3.880327959216119170e-05
1.111111111111111154e-02,7.870217125122245250e-01,-7.112767584374296570e-01,-1.000035925858516750e-01,-1.591864356750359423e-07,9.999999999841283627e-01,3.933740217491286532e-06,4.030374864798152231e-06
1.333333333333333245e-02,7.847994902901432868e-01,-7.112767759207166973e-01,-1.000036104986316288e-01,-1.591893934758774099e-07,9.999999995486141824e-01,-2.129769626470954958e-05,-2.119327058856141646e-05
1.555555555555555511e-02,7.825772680719332852e-01,-7.112766812643038783e-01,-1.000035163063028726e-01,-1.591918648943770564e-07,9.999999985388768886e-01,-3.827927420705137649e-05,-3.816959752712302946e-05
1.777777777777777776e-02,7.803550458626986597e-01,-7.112765111342235214e-01,-1.000033466636203600e-01,-1.591925917333950469e-07,9.999999977120873629e-01,-4.788828993891737051e-05,-4.777564094077409694e-05
2.000000000000000042e-02,7.781328236608133775e-01,-7.112762982974136783e-01,-1.000031343274049994e-01,-1.591927401810072860e-07,9.999999974113675805e-01,-5.093524368748171229e-05,-5.082165281108268396e-05
