x,y,z
7.981328220229531034e-01,-7.099273166922001055e-01,-1.000000000000000056e-01
7.971328224282377972e-01,-7.099279533117421881e-01,-1.000006366197446622e-01
7.961328228335223800e-01,-7.099285899312842707e-01,-1.000012732394893328e-01
7.951328232388070738e-01,-7.099292265508262423e-01,-1.000019098592339895e-01
7.941328236440917676e-01,-7.099298631703683249e-01,-1.000025464789786461e-01
7.931328240493763504e-01,-7.099304997899104075e-01,-1.000031830987233167e-01
7.921328244546610442e-01,-7.099311364094524901e-01,-1.000038197184679734e-01
7.911328248599456270e-01,-7.099317730289945727e-01,-1.000044563382126300e-01
7.901328252652303208e-01,-7.099324096485365443e-01,-1.000050929579573006e-01
7.891328256705150146e-01,-7.099330462680786269e-01,-1.000057295777019573e-01
7.881328260757995974e-01,-7.099336828876207095e-01,-1.000063661974466139e-01
7.871328264810842912e-01,-7.099343195071627921e-01,-1.000070028171912706e-01
7.861328268863688740e-01,-7.099349561267047637e-01,-1.000076394369359412e-01
7.851328272916535678e-01,-7.099355927462468463e-01,-1.000082760566805978e-01
7.841328276969382616e-01,-7.099362293657889289e-01,-1.000089126764252545e-01
7.831328281022228444e-01,-7.099368659853310115e-01,-1.000095492961699251e-01
7.821335579585727560e-01,-7.099118858347105432e-01,-1.000101859159145817e-01
7.811584811669047834e-01,-7.097070125917942507e-01,-1.000108225356592384e-01
7.803028468621283631e-01,-7.092026001867491880e-01,-1.000114591554039090e-01
7.796978538090786337e-01,-7.084152285073592736e-01,-1.000120957751485656e-01
7.794025834673657949e-01,-7.074643751826433791e-01,-1.000127323948932223e-01
7.793409047123351918e-01,-7.064672659124214826e-01,-1.000133690146378929e-01
7.793402472923879332e-01,-7.054672663316824410e-01,-1.000140056343825495e-01
7.793396106728458506e-01,-7.044672667369671348e-01,-1.000146422541272062e-01
7.793389740533037680e-01,-7.034672671422518286e-01,-1.000152788738718768e-01
7.793383374337616853e-01,-7.024672675475364114e-01,-1.000159154936165334e-01
7.793377008142197138e-01,-7.014672679528211052e-01,-1.000165521133611901e-01
7.793370641946776312e-01,-7.004672683581057990e-01,-1.000171887331058468e-01
7.793364275751355486e-01,-6.994672687633903818e-01,-1.000178253528505173e-01
7.793357909555934659e-01,-6.984672691686750756e-01,-1.000184619725951740e-01
7.793351543360513833e-01,-6.974672695739597694e-01,-1.000190985923398307e-01
7.793345177165094118e-01,-6.964672699792443522e-01,-1.000197352120845012e-01
7.793338810969673291e-01,-6.954672703845290460e-01,-1.000203718318291579e-01
7.793332444774252465e-01,-6.944672707898136288e-01,-1.000210084515738146e-01
7.793326078578831639e-01,-6.934672711950983226e-01,-1.000216450713184851e-01
7.793319712383410813e-01,-6.924672716003829054e-01,-1.000222816910631418e-01
7.793313346187991097e-01,-6.914672720056675992e-01,-1.000229183108077985e-01
7.793306979992570271e-01,-6.904672724109522930e-01,-1.000235549305524690e-01
7.793300613797149445e-01,-6.894672728162368758e-01,-1.000241915502971257e-01
7.793294247601728619e-01,-6.884672732215215696e-01,-1.000248281700417824e-01
7.793287881406308903e-01,-6.874672736268061524e-01,-1.000254647897864529e-01
7.793281515210888077e-01,-6.864672740321319244e-01,-1.000261014095310819e-01
