s,x,y,z
0.000000000000000000e+00,7.981328220229531034e-01,-7.112731669220015984e-01,-1.000000000000000056e-01
2.777777777777777884e-03,7.953550453709660184e-01,-7.112749353096183835e-01,-1.000017683881796737e-01
5.555555555555555768e-03,7.925772680332197062e-01,-7.112760407926607131e-01,-1.000028740673669231e-01
8.333333333333333218e-03,7.897994903881878637e-01,-7.112766478596090902e-01,-1.000034814777891884e-01
1.111111111111111154e-02,7.870217126304900335e-01,-7.112768838060533616e-01,-1.000037178775205621e-01
1.388888888888888985e-02,7.842439348532250776e-01,-7.112768457954911083e-01,-1.000036804014317882e-01
1.666666666666666644e-02,7.814661570956142889e-01,-7.112766088143850363e-01,-1.000034440138920233e-01
1.944444444444444475e-02,7.786883793689171052e-01,-7.112762318133885042e-01,-1.000030676481654807e-01
2.222222222222222307e-02,7.759106016703103403e-01,-7.112757625263076422e-01,-1.000025990239308410e-01
2.500000000000000139e-02,7.731328239901877897e-01,-7.112752413567335896e-01,-1.000020785327568607e-01
