s,px,py,pz,qw,qx,qy,qz
0.000000000000000000e+00,7.981328220229531034e-01,-7.099273166922001055e-01,-1.000000000000000056e-01,-1.591549349476097951e-07,9.999998986788191102e-01,3.183098539322571177e-04,3.183098539322571177e-04
1.210526315789473744e-03,7.969222961977713293e-01,-7.099280873369089306e-01,-1.000007706449540928e-01,-1.188151914026275984e-06,9.999956009493751186e-01,-2.949201508643409762e-03,3.166874609388245021e-04
2.421052631578947487e-03,7.957117911825977163e-01,-7.099209471953343842e-01,-1.000015373501083465e-01,-2.771254659256753053e-06,9.999684459156337191e-01,-7.937803026731504383e-03,3.137650418158617832e-04
3.631578947368421448e-03,7.945014176525770910e-01,-7.099017299607237597e-01,-1.000022969145612090e-01,-4.710452576568727531e-06,9.999015965906988823e-01,-1.402501356138850276e-02,3.100125576751114114e-04
4.842105263157894975e-03,7.932913677929563923e-01,-7.098677780025144379e-01,-1.000030472374776325e-01,-7.027851741850684762e-06,9.997734871389795108e-01,-2.128100329771428004e-02,3.053902696025198897e-04
6.052631578947368501e-03,7.920819381519442759e-01,-7.098162672387745564e-01,-1.000037860738256373e-01,-9.780639951999879809e-06,9.995533564855668685e-01,-2.988306504005433517e-02,2.997775647749654961e-04
7.263157894736842896e-03,7.908735740478584075e-01,-7.097439510723975165e-01,-1.000045108193096527e-01,-1.303761830938717594e-05,9.991976704645101348e-01,-4.004908622342197300e-02,2.930204526039203354e-04
8.473684210526315555e-03,7.896669311372133127e-01,-7.096470679121852365e-01,-1.000052184039207787e-01,-1.688114984343202460e-05,9.986451809147521841e-01,-5.203576812786638028e-02,2.849317666650156926e-04
9.684210526315789949e-03,7.884629605534310137e-01,-7.095212572490926517e-01,-1.000059051774131597e-01,-2.140810682442585708e-05,9.978101008065036748e-01,-6.614322706748058944e-02,2.752876815853414253e-04
1.089473684210526434e-02,7.872630263484009516e-01,-7.093614716830811684e-01,-1.000065667756284277e-01,-2.672604151625020659e-05,9.965727661732298737e-01,-8.272032040903501415e-02,2.638161901285803021e-04
1.210526315789473700e-02,7.860690666203139498e-01,-7.091618877895727868e-01,-1.000071979470603944e-01,-3.297143632205588491e-05,9.947669434792238974e-01,-1.021697825895414857e-01,2.501989063904180486e-04
1.331578947368421140e-02,7.848838130121770229e-01,-7.089158237891922676e-01,-1.000077923661223389e-01,-4.029157508001198976e-05,9.921627159800278095e-01,-1.249523453731802014e-01,2.340544063900384345e-04
1.452631578947368579e-02,7.837110869382929446e-01,-7.086156784671889808e-01,-1.000083423942445121e-01,-4.884456343005462133e-05,9.884436659301203409e-01,-1.515884913247562971e-01,2.149295646583783924e-04
1.573684210526316019e-02,7.825561942739378551e-01,-7.082529159434787225e-01,-1.000088388104910381e-01,-5.882415367591087529e-05,9.831769232973750494e-01,-1.826556789594140084e-01,1.922995113257313727e-04
1.694736842105263111e-02,7.814264418616020391e-01,-7.078181363882365407e-01,-1.000092705322964959e-01,-6.988251258632948077e-05,9.762373053599346928e-01,-2.167041555888578053e-01,1.664047119570716542e-04
1.815789473684210550e-02,7.803296099174988898e-01,-7.073059513431368961e-01,-1.000096271694653899e-01,-7.856951497907754237e-05,9.699144930492523686e-01,-2.434457819440284942e-01,1.457858150371244075e-04
1.936842105263157990e-02,7.792625693922353713e-01,-7.067342885132872343e-01,-1.000099231972791936e-01,-8.503933190683015525e-05,9.646904691556226208e-01,-2.633861699639249432e-01,1.302319138014686238e-04
2.057894736842105429e-02,7.782199970453130833e-01,-7.061191325979432332e-01,-1.000101731353790074e-01,-8.943972114383549248e-05,9.608890290908733700e-01,-2.769336589711089980e-01,1.195918424344019962e-04
2.178947368421052869e-02,7.771951467413958925e-01,-7.054748843785837442e-01,-1.000103913826698443e-01,-9.188263084029497181e-05,9.586922697501412127e-01,-2.844452681268810901e-01,1.136623572496833648e-04
2.299999999999999961e-02,7.761805056719237594e-01,-7.048146742445028368e-01,-1.000105919224387879e-01,-9.262674195305047509e-05,9.580093807419508556e-01,-2.867368224002716515e-01,1.118503719241832861e-04
