i_idx,j_idx,L_m,cmd_x,cmd_y,cmd_z,cmd_rx,cmd_ry,cmd_rz,act_x,act_y,act_z,act_rx,act_ry,act_rz,pred_base_x_mm,pred_base_y_mm,pred_base_z_mm,meas_base_x_mm,meas_base_y_mm,meas_base_z_mm,pred_tip_angle_deg,meas_tip_angle_deg,err_x_mm,err_y_mm,err_z_mm,err_xy_mm,err_xyz_mm
0,0,0.02,0.6458941096487977,-0.7112731669220016,-0.1,-3.1426596953947454,-0.0010003396494852076,-0.0010003396494852076,0.6459301399832265,-0.7112538601282953,-0.1,3.140491304582289,0.0010780484428705357,0.0010308121520896034,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-17.7112485745863,0.0719396576501108,0.0,-4.3782340649262973e-13,0.23272775655769576,2.2887514254137584,0.07193965765026364,-8.371803347232067e-15,2.2898817440375274,2.2898817440375274
0,-5,0.02,0.6464734239115053,-0.6980046888700852,-0.1,3.138618262378458,-0.13603408898115182,0.0009990611471675055,0.64648283653374,-0.6980200421504706,-0.1,3.1385716094538534,-0.1360491119097116,0.0010068123098154285,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-17.63190458770938,-0.686615124178405,0.0,-4.3782340649262973e-13,-2.2300592336769838,2.3680954122906814,-0.6866151241782521,-8.371803347232067e-15,2.4656269406506914,2.4656269406506914
0,-10,0.02,0.6482069577682892,-0.6848371919478695,-0.1,3.1296698313868756,-0.27280682871486867,0.0009962206825054108,0.648184945405178,-0.6848481516903815,-0.1,3.129671713665705,-0.27285063715484725,0.0009431168664788857,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-17.675058381943572,-1.1637188545111021,0.0,-4.3782340649262973e-13,-3.7668894919573983,2.3249416180564886,-1.1637188545109491,-8.371803347232067e-15,2.5999221333946516,2.5999221333946516
0,-15,0.02,0.6510815179797632,-0.6718708887576854,-0.1,3.114763994748915,-0.40905785703352265,0.0009914838869901836,0.6510756444404066,-0.6718821618921285,-0.1,3.1147544276436947,-0.409072970368041,0.000995082505387299,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-17.66112744464641,-1.361220555555967,0.0,-4.3782340649262973e-13,-4.407318271715346,2.3388725553536474,-1.3612205555558143,-8.371803347232067e-15,2.706149705957558,2.706149705957558
0,-20,0.02,0.655075227407011,-0.6592044606960777,-0.1,3.093929570743036,-0.5445278688548257,0.0009848599181184353,0.6550835581176805,-0.6592049731501114,-0.1,3.093929285380443,-0.544523068840766,0.0010181808515021872,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-17.65379274893863,-1.6743807769208985,0.0,-4.3782340649262973e-13,-5.418027340918729,2.3462072510614282,-1.6743807769207457,-8.371803347232067e-15,2.882401681073431,2.882401681073431
0,-25,0.02,0.6601576915098232,-0.6469343069287938,-0.1,3.0672062621669873,-0.6789590229605379,0.0009763613992272138,0.660142728946079,-0.646950780764796,-0.1,3.0671964921994,-0.6790027251096589,0.0009887284990147524,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-17.668406078297668,-2.359912857310388,0.0,-4.3782340649262973e-13,-7.607781456964216,2.3315939217023915,-2.3599128573102353,-8.371803347232067e-15,3.317456692982999,3.317456692982999
0,-30,0.02,0.6662902296675022,-0.6351538107349239,-0.1,3.0346451303614104,-0.8120954901128086,0.0009660045678406846,0.666281090537195,-0.6351687132951982,-0.1,3.0345988492897726,-0.8121194771974012,0.000965206615471028,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-17.596760099499058,-2.4917102582703756,0.0,-4.3782340649262973e-13,-8.059524530144746,2.4032399005010014,-2.491710258270223,-8.371803347232067e-15,3.4618177350243506,3.4618177350243506
0,-35,0.02,0.6734261695617398,-0.6239526288037616,-0.1,2.996308277111807,-0.9436839056496638,0.00095380917877516,0.6734374548790768,-0.6239602674604406,-0.1,2.996307816211078,-0.9436705603848705,0.0009766618754670157,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-17.556767131646396,-2.9371712342507377,0.0,-4.3782340649262973e-13,-9.497378157012418,2.4432328683536633,-2.9371712342505853,-8.371803347232067e-15,3.820518513017935,3.820518513017935
0,-40,0.02,0.6815112023811429,-0.6134160088932618,-0.1,2.9522688256963416,-1.0734738720885235,0.0009397984919158199,0.6815108684618567,-0.6134163876111176,-0.1,2.9522609986129082,-1.0734581492839008,0.000882015011725655,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-17.598022787200872,-3.1812240976022,0.0,-4.3782340649262973e-13,-10.246788131941647,2.4019772127991876,-3.1812240976020476,-8.371803347232067e-15,3.9861863089888954,3.9861863089888954
0,-45,0.02,0.6904837961440794,-0.6036241410431279,-0.1,2.902610721687631,-1.2012184189514101,0.0009239992124621371,0.6904947666552232,-0.6036144741941303,-0.1,2.9026285412179154,-1.2011695375445706,0.0009384723972449984,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-17.492154983550588,-3.5723722137954814,0.0,-4.3782340649262973e-13,-11.54261595880166,2.5078450164494717,-3.572372213795329,-8.371803347232067e-15,4.364760000323888,4.364760000323888
0,-50,0.02,0.7002756639942131,-0.5946515472801917,-0.1,2.8474286270520275,-1.3266744914193014,0.0009064414615485987,0.7002656423628677,-0.5946431899355512,-0.1,2.8474322803635244,-1.326679385987529,0.0008477079200865821,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-17.51719902255105,-3.877745009107761,0.0,-4.3782340649262973e-13,-12.482145612505452,2.4828009774490076,-3.8777450091076084,-8.371803347232067e-15,4.604476848598624,4.604476848598624
0,-55,0.02,0.7108122839047132,-0.5865665144607884,-0.1,2.7868276751617125,-1.4496033867982872,0.0008871586873784617,0.7108024597386077,-0.5865755766843743,-0.1,2.7868145739321473,-1.4496154286207983,0.0009096058343094735,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-17.392129142437884,-4.262126130742955,0.0,-4.3782340649262973e-13,-13.769571247119595,2.6078708575621756,-4.262126130742803,-8.371803347232067e-15,4.996669847416647,4.996669847416647
0,-60,0.02,0.7220134658358754,-0.5794305745665507,-0.1,2.7209233305515994,-1.569771233795838,0.0008661876309328199,0.7220003532229863,-0.5794376499463474,-0.1,2.7209162639404116,-1.5697784556530077,0.0008601506360099487,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-17.33345695108994,-4.5440212539244325,0.0,-4.3782340649262973e-13,-14.689706550076844,2.6665430489101194,-4.54402125392428,-8.371803347232067e-15,5.268641284791219,5.268641284791219
0,-65,0.02,0.7337939620297452,-0.5732980364088717,-0.1,2.6498411214608897,-1.6869494143989252,0.0008435682369427647,0.7337904435830968,-0.5732862720410427,-0.1,2.6498620001982514,-1.6869251400920273,0.0008387075676630394,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-17.263983416293886,-4.774946819766506,0.0,-4.3782340649262973e-13,-15.460602018376504,2.7360165837061743,-4.774946819766353,-8.371803347232067e-15,5.503263020964201,5.503263020964201
0,-70,0.02,0.746064115797029,-0.5682155723060595,-0.1,2.5737164368837777,-1.8009150176250783,0.0008193435868050229,0.7460684402096048,-0.5682232433759571,-0.1,2.5737171480700005,-1.800921168925068,0.0008302803272549788,-20.00000000000006,-1.5282919971187862e-13,8.371803347232067e-15,-17.15288326405075,-5.158243976303521,0.0,-4.3782340649262973e-13,-16.73716517696623,2.847116735949309,-5.1582439763033685,-8.371803347232067e-15,5.8918209941572925,5.8918209941572925
