run_name,run_dir,bend_angle_deg,jacobian_variant,solver_mode,rollout_steps,n_steps,success,num_infeasible_steps,final_status,final_i_ref,max_i_ref,final_p_now_L_mm,mean_pred_err_xy_mm,max_pred_err_xy_mm,mean_clearance_mm,min_clearance_mm,mean_tip_vessel_angle_deg,max_tip_vessel_angle_deg,mean_cond_H_beam,max_cond_H_beam,mean_cond_H_mpc,max_cond_H_mpc,max_abs_u0_vx,max_abs_u0_vy,max_abs_u0_wz_rad_s,max_u0_dL
bend_m90_jac_contact_plant_contact_1_lti_rollout3_Np10_sqp1,run_experiment_3/bend_m90_jac_contact_plant_contact_1_lti_rollout3_Np10_sqp1,-90.0,contact,lti,3,100,True,0,solved,23.0,23.0,21.223881109454098,0.040923167181424205,1.283418737158981,2.8013194444586587,1.6677108040681905,47.976879406735385,51.981864078934784,1.6786542224480392,4.711659690112468,17109784.499243386,17350975.412951138,0.6517742141187435,1.0,6.283185673638133,0.0985535526594712
bend_m90_jac_contact_plant_contact_1_lti_rollout5_Np10_sqp1,run_experiment_3/bend_m90_jac_contact_plant_contact_1_lti_rollout5_Np10_sqp1,-90.0,contact,lti,5,9,True,0,solved,41.0,41.0,45.0379720766014,4.278160185153024,23.05874237461343,1.6088382970838202,0.8582096362183297,38.41172742078681,71.08450449460645,1499.0265849394007,8984.316448715064,45422033.213046476,247509581.32124633,0.143681121233991,0.3500212368582758,6.283185307179586,0.1000051184965839
bend_m90_jac_contact_plant_contact_1_lti_rollout10_Np10_sqp1,run_experiment_3/bend_m90_jac_contact_plant_contact_1_lti_rollout10_Np10_sqp1,-90.0,contact,lti,10,7,True,0,solved,45.0,45.0,50.0,7.621900982602733,28.53112978302826,1.286952439427253,0.908081677347797,32.73276025594724,58.16373677650951,2586.6479495862227,11267.846747261632,31463618.48517852,69509300.10332876,0.0776748322490921,0.199999998581089,6.283185307179586,0.0999999941314628
bend_m90_jac_no_contact_plant_contact_1_lti_rollout3_Np10_sqp1,run_experiment_3/bend_m90_jac_no_contact_plant_contact_1_lti_rollout3_Np10_sqp1,-90.0,no_contact,lti,3,100,True,0,solved,23.0,23.0,21.223881078125,0.04093498528877305,1.2833467574850417,2.80128074313201,1.6670860426132688,47.97689266565466,51.98186394339122,1.678615580891925,4.712228589827787,17109791.194770273,17350420.79776727,0.6517747204665638,1.0,6.283185682263669,0.0985535497010179
bend_m90_jac_no_contact_plant_contact_1_lti_rollout5_Np10_sqp1,run_experiment_3/bend_m90_jac_no_contact_plant_contact_1_lti_rollout5_Np10_sqp1,-90.0,no_contact,lti,5,100,True,0,solved,23.0,23.0,21.223042097712497,0.1041305242307241,2.420418016529256,2.789146028378558,0.9762170822606973,48.091105395749956,54.06694474289534,1.6272721205637013,4.507772251588917,17147897.931015905,18489223.743554443,0.4563243922098499,1.0,6.283185307179586,0.0985535497010179
bend_m90_jac_no_contact_plant_contact_1_lti_rollout10_Np10_sqp1,run_experiment_3/bend_m90_jac_no_contact_plant_contact_1_lti_rollout10_Np10_sqp1,-90.0,no_contact,lti,10,100,True,0,solved,24.0,24.0,21.220457137211,0.33200683824682187,5.462451172917904,2.7960101702396867,0.9612445663391648,49.14702673508957,70.36279733275981,1.573470436339536,4.682377959889811,17196840.428416304,23592301.701053023,0.4776708355823316,0.9499999985841976,6.283185307179586,0.0985535497010179
bend_m90_jac_contact_plant_contact_1_ltv_oneshot_rollout3_Np10_sqp1,run_experiment_3/bend_m90_jac_contact_plant_contact_1_ltv_oneshot_rollout3_Np10_sqp1,-90.0,contact,ltv_oneshot,3,12,True,0,solved,40.0,40.0,40.2660163108447,0.9400499745965726,2.947132628033168,1.571288319227454,0.9068335816704204,40.89664354412013,67.72251697127861,4352.825137312357,23138.630279142093,41259278.59412326,120381425.90666904,0.3980064120081127,0.4000295061055234,6.283185633724256,0.1000000581921262
bend_m90_jac_contact_plant_contact_1_ltv_oneshot_rollout5_Np10_sqp1,run_experiment_3/bend_m90_jac_contact_plant_contact_1_ltv_oneshot_rollout5_Np10_sqp1,-90.0,contact,ltv_oneshot,5,8,True,0,solved,41.0,41.0,41.619576869327,1.5415023580640714,3.5803703371873934,1.4256846605696794,0.863041580298781,36.73877481474617,74.10114659904464,5628.2426881575575,22284.241602992563,40558125.58642998,182044882.19281605,0.1874962042632616,0.29999796877965,6.283185307179586,0.1000012486486143
bend_m90_jac_contact_plant_contact_1_ltv_oneshot_rollout10_Np10_sqp1,run_experiment_3/bend_m90_jac_contact_plant_contact_1_ltv_oneshot_rollout10_Np10_sqp1,-90.0,contact,ltv_oneshot,10,7,True,0,solved,45.0,45.0,42.1108813675044,7.245973029638795,31.87956190985216,1.2676509979917225,0.8728730687924094,29.804604608546704,67.70486530469434,3294.8134739657294,13667.970115451832,44912719.93027179,139739407.03152242,0.176305960611737,0.1999984465901001,6.283185078846433,0.0985504799220051
bend_m90_jac_no_contact_plant_contact_1_ltv_oneshot_rollout3_Np10_sqp1,run_experiment_3/bend_m90_jac_no_contact_plant_contact_1_ltv_oneshot_rollout3_Np10_sqp1,-90.0,no_contact,ltv_oneshot,3,100,True,0,solved,23.0,23.0,21.2241722371588,0.040880688488892813,1.2688092788726946,2.802838611249877,1.0832834425057378,47.799633408923974,52.11038049814443,1.5976660309014061,4.612161497347138,17130838.635541808,18070493.49561513,1.0,1.0,6.283185307179586,0.0985504740380468
