N_sqp,Np,bend_angle_deg,error,final_i_ref,final_infeasible,final_status,final_tip,jacobian_variant,log_csv_path,max_jac_cond,mean_jac_cond,mean_sqp_iters,n_steps,num_infeasible_steps,plant_contact,rollout_steps,run_name,solver_mode,success
5,10,-30.0,,40,0,solved,"[0.7592286781279293, -0.7040128692804204, -0.10002689155363405]",no_contact,run_experiment_3_extra/bend_m30_jac_no_contact_plant_contact_1_lti_rollout3_Np10_sqp5/log.csv,14434.780916930016,9152.388219722558,1.0,10,0,True,3,bend_m30_jac_no_contact_plant_contact_1_lti_rollout3_Np10_sqp5,lti,True
5,10,-30.0,,43,0,solved,"[0.7568847561009143, -0.7026641427746494, -0.10002575680222017]",no_contact,run_experiment_3_extra/bend_m30_jac_no_contact_plant_contact_1_lti_rollout5_Np10_sqp5/log.csv,13504.732529505656,8336.863422856575,1.0,7,0,True,5,bend_m30_jac_no_contact_plant_contact_1_lti_rollout5_Np10_sqp5,lti,True
5,10,-30.0,,45,0,solved,"[0.7569152452537665, -0.7026851641399217, -0.10002594393477118]",no_contact,run_experiment_3_extra/bend_m30_jac_no_contact_plant_contact_1_lti_rollout10_Np10_sqp5/log.csv,70767.61970718259,25560.408392237707,1.0,4,0,True,10,bend_m30_jac_no_contact_plant_contact_1_lti_rollout10_Np10_sqp5,lti,True
5,10,-30.0,,40,0,solved,"[0.7600316047809552, -0.7044753665443169, -0.10002669017097592]",no_contact,run_experiment_3_extra/bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout3_Np10_sqp5/log.csv,42845.216919883336,11419.997572364096,1.0,12,0,True,3,bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout3_Np10_sqp5,ltv_oneshot,True
5,10,-30.0,,40,0,solved,"[0.7575187294279945, -0.7030308418128227, -0.10002185300438088]",no_contact,run_experiment_3_extra/bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout5_Np10_sqp5/log.csv,13504.732529505656,8966.79287396129,1.0,6,0,True,5,bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout5_Np10_sqp5,ltv_oneshot,True
5,10,-30.0,,45,0,solved,"[0.756575427426509, -0.7024909758718471, -0.10002441412889289]",no_contact,run_experiment_3_extra/bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout10_Np10_sqp5/log.csv,48552.88762868,20077.73047771636,1.0,4,0,True,10,bend_m30_jac_no_contact_plant_contact_1_ltv_oneshot_rollout10_Np10_sqp5,ltv_oneshot,True
5,10,-30.0,,42,0,solved,"[0.7580044682154158, -0.6986252884577075, -0.10004031594019246]",no_contact,run_experiment_3_extra/bend_m30_jac_no_contact_plant_contact_1_sqp_full_rollout3_Np10_sqp5/log.csv,13504.732529505656,11166.8049339088,5.0,7,0,True,3,bend_m30_jac_no_contact_plant_contact_1_sqp_full_rollout3_Np10_sqp5,sqp_full,True
5,10,-30.0,,42,0,solved,"[0.7584991349823147, -0.6966473758902675, -0.10002833090423065]",no_contact,run_experiment_3_extra/bend_m30_jac_no_contact_plant_contact_1_sqp_full_rollout5_Np10_sqp5/log.csv,31797.756874387567,15465.256685613562,5.0,5,0,True,5,bend_m30_jac_no_contact_plant_contact_1_sqp_full_rollout5_Np10_sqp5,sqp_full,True
5,10,-30.0,,45,0,solved,"[0.7585241096790905, -0.6986414056620842, -0.10001780066056191]",no_contact,run_experiment_3_extra/bend_m30_jac_no_contact_plant_contact_1_sqp_full_rollout10_Np10_sqp5/log.csv,75327.34866281037,29350.566912037837,5.0,4,0,True,10,bend_m30_jac_no_contact_plant_contact_1_sqp_full_rollout10_Np10_sqp5,sqp_full,True
5,10,-30.0,,40,0,solved,"[0.7573936905283789, -0.702955425669443, -0.10002492439040418]",contact,run_experiment_3_extra/bend_m30_jac_contact_plant_contact_1_lti_rollout3_Np10_sqp5/log.csv,13504.78293254997,10390.239070448722,1.0,7,0,True,3,bend_m30_jac_contact_plant_contact_1_lti_rollout3_Np10_sqp5,lti,True
