k,status,infeasible,solver_mode,rollout_steps,i_ref,i_ref_mpc,idx_ref_0,idx_ref_terminal,u0_vx,u0_vy,u0_vz,u0_wx,u0_wy,u0_wz,u0_dL,p_now_x,p_now_y,p_now_z,p_now_qw,p_now_qx,p_now_qy,p_now_qz,p_now_L,tip_x,tip_y,tip_z,tip_tx,tip_ty,tip_tz,pred1_err_xy_m,pred1_err_xy_mm,pred1_err_xyz_m,pred1_err_xyz_mm,sqp_iters_done,sqp_du_final,sqp_du_rel_final,frame_path,i_seg,u_seg,rho_m,rho_mm,clearance_m,clearance_mm,tip_vessel_angle_deg,trust_vx,trust_vy,trust_vz,trust_wx,trust_wy,trust_wz,trust_dL,sqp_status_0,sqp_du_0,sqp_du_rel_0,u_applied_0_vx,u_applied_0_vy,u_applied_0_vz,u_applied_0_wx,u_applied_0_wy,u_applied_0_wz,u_applied_0_dL,x_rollout_0_x,x_rollout_0_y,x_rollout_0_z,x_rollout_0_tx,x_rollout_0_ty,x_rollout_0_tz,x_pred_0_x,x_pred_0_y,x_pred_0_z,x_pred_0_tx,x_pred_0_ty,x_pred_0_tz,rollout_err_xy_0_m,rollout_err_xy_0_mm,rollout_err_xyz_0_m,rollout_err_xyz_0_mm,u_plan_0_vx,u_plan_0_vy,u_plan_0_vz,u_plan_0_wx,u_plan_0_wy,u_plan_0_wz,u_plan_0_dL,u_plan_1_vx,u_plan_1_vy,u_plan_1_vz,u_plan_1_wx,u_plan_1_wy,u_plan_1_wz,u_plan_1_dL,u_plan_2_vx,u_plan_2_vy,u_plan_2_vz,u_plan_2_wx,u_plan_2_wy,u_plan_2_wz,u_plan_2_dL,u_plan_3_vx,u_plan_3_vy,u_plan_3_vz,u_plan_3_wx,u_plan_3_wy,u_plan_3_wz,u_plan_3_dL,u_plan_4_vx,u_plan_4_vy,u_plan_4_vz,u_plan_4_wx,u_plan_4_wy,u_plan_4_wz,u_plan_4_dL,u_plan_5_vx,u_plan_5_vy,u_plan_5_vz,u_plan_5_wx,u_plan_5_wy,u_plan_5_wz,u_plan_5_dL,u_plan_6_vx,u_plan_6_vy,u_plan_6_vz,u_plan_6_wx,u_plan_6_wy,u_plan_6_wz,u_plan_6_dL,u_plan_7_vx,u_plan_7_vy,u_plan_7_vz,u_plan_7_wx,u_plan_7_wy,u_plan_7_wz,u_plan_7_dL,u_plan_8_vx,u_plan_8_vy,u_plan_8_vz,u_plan_8_wx,u_plan_8_wy,u_plan_8_wz,u_plan_8_dL,u_plan_9_vx,u_plan_9_vy,u_plan_9_vz,u_plan_9_wx,u_plan_9_wy,u_plan_9_wz,u_plan_9_dL,u_plan_10_vx,u_plan_10_vy,u_plan_10_vz,u_plan_10_wx,u_plan_10_wy,u_plan_10_wz,u_plan_10_dL,u_plan_11_vx,u_plan_11_vy,u_plan_11_vz,u_plan_11_wx,u_plan_11_wy,u_plan_11_wz,u_plan_11_dL
0,solved,0,lti,1,18,18,18,29,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.04000000000000001,0.6623328220229531,-0.7097273166922001,-0.1,0.0005320061119359659,0.999987715181031,-0.004917657110125695,0.0003210997747694483,0.0168,0.7813328360389296,-0.7099477343844227,-0.10000428891900516,-0.9999988141746498,-0.0015394264788510601,-4.260763292780182e-05,5.6203841080936754e-05,0.056203841080936755,5.6203857452441424e-05,0.05620385745244142,1,1.8156576688255464,26.206761095937676,,16,0.10553101259077603,0.0013388390564313473,1.3388390564313473,0.002661160943568653,2.661160943568653,4.506128464623907,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,1.8156576688255464,26.206761095937676,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.04000000000000001,0.7813328360389296,-0.7099477343844227,-0.10000428891900516,-0.9999988141746498,-0.0015394264788510601,-4.260763292780182e-05,0.7813328162752906,-0.7098915305468166,-0.10000433181752683,-0.9999999959501411,-6.354947665659649e-05,-6.372740123715317e-05,5.6203841080936754e-05,0.056203841080936755,5.6203857452441424e-05,0.05620385745244142,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.04000000000000001,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.039999999999999994,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.039999999999999994,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.04,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.04000000000000001,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.039999999999999994,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.02025237935956843,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,0.0012492721109118666,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,5.484682989830608e-05,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,4.0256767578834256e-05,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,4.025689794385773e-05,0.01,0.01,0.0,0.0,0.0,0.5235987755982988,4.0256833540062726e-05
1,solved,0,lti,1,19,19,19,30,0.009856388823518802,0.019999983690717482,3.301374923426629e-08,0.0,0.0,1.0471975517111596,0.05999999998944302,0.6625299497994235,-0.7093273170183858,-0.1,0.0005286144541804555,0.9998813885764335,-0.015389042949284806,0.00032665322182050054,0.01799999999978886,0.7801329365735068,-0.709986501486695,-0.10000391451126439,-0.9999887229902413,-0.004749076945975872,1.2669157605098331e-05,6.398462906206286e-05,0.06398462906206286,6.398464937570138e-05,0.06398464937570138,1,1.814760452771611,0.9988898605906331,,16,0.9022293279592234,0.0012601844946327158,1.2601844946327159,0.002739815505367284,2.739815505367284,4.589722208444287,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,1.814760452771611,0.9988898605906331,0.009856388823518802,0.019999983690717482,3.301374923426629e-08,0.0,0.0,1.0471975517111596,0.05999999998944302,0.7801329365735068,-0.709986501486695,-0.10000391451126439,-0.9999887229902413,-0.004749076945975872,1.2669157605098331e-05,0.7801328120095324,-0.7099225169788823,-0.10000396549676885,-0.9999951201509538,-0.003124042124650582,-5.923069754835674e-06,6.398462906206286e-05,0.06398462906206286,6.398464937570138e-05,0.06398464937570138,0.009856388823518802,0.019999983690717482,3.301374923426629e-08,0.0,0.0,1.0471975517111596,0.05999999998944302,0.0038647015562816413,0.01999998359448537,3.310319555201644e-08,0.0,0.0,1.0471975528867714,0.05999999999414689,0.00908176034273299,0.019999983955280045,3.2578960888263835e-08,0.0,0.0,1.047197552774325,0.05723721699431201,0.013763514473123786,0.019999984874522106,3.119231565218794e-08,0.0,0.0,1.0471975526993815,0.020111521330332345,0.011428793945364253,0.01999998629048031,2.89768393165197e-08,0.0,0.0,1.0471975528726323,0.020000000002453902,0.010232432184894417,0.019999988061408545,2.6133428190459256e-08,0.0,0.0,1.047197552027914,0.0026103963622143866,0.010766993981826133,0.019999989944431418,2.2800663018628275e-08,0.0,0.0,1.0471975501944661,0.001167770585690165,0.011664650909043178,0.01999999180886672,1.9055832961749393e-08,0.0,0.0,1.0471975489836547,-2.500371518676933e-05,0.012525753452842736,0.019999994022378887,1.5083553283251806e-08,0.0,0.0,1.0471975536754148,-3.787373366599608e-05,0.01238961408392172,0.019999998698291145,1.106412675155839e-08,0.0,0.0,1.0471975551232393,-3.618597695994774e-05,0.013290209708330213,0.020000009250390877,7.1531865871993125e-09,0.0,0.0,1.0471975489953829,-3.460277564087563e-05,0.011981653112923494,0.02000002977437432,3.4580905414633287e-09,0.0,0.0,1.0471960654539496,-3.334830927547611e-05
2,solved,0,lti,1,20,20,20,31,-0.006135298443718359,0.02999998359448537,0.0,0.0,0.0,1.5707963284850703,0.0799999999941469,0.6624072438305492,-0.7087273173464961,-0.1,0.0005234183945153611,0.9995163151096359,-0.031092598702694006,0.00033491603839944095,0.019599999999671797,0.7785333599920653,-0.7100593076038181,-0.10000335244270625,-0.9999497681755739,-0.01002271894837438,7.89335041538535e-05,7.496563540480193e-05,0.07496563540480193,7.496565622002085e-05,0.07496565622002085,1,1.8146975884756784,0.4999811352334496,,18,0.42047713833540445,0.0009017975715861741,0.9017975715861741,0.003098202428413826,3.0982024284138263,23.57625142229549,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,1.8146975884756784,0.4999811352334496,-0.006135298443718359,0.02999998359448537,0.0,0.0,0.0,1.5707963284850703,0.0799999999941469,0.7785333599920653,-0.7100593076038181,-0.10000335244270625,-0.9999497681755739,-0.01002271894837438,7.89335041538535e-05,0.7785329792200315,-0.7099843429354449,-0.10000340830729841,-0.9999659995282048,-0.00824595519198372,6.332874881507738e-05,7.496563540480193e-05,0.07496563540480193,7.496565622002085e-05,0.07496565622002085,-0.006135298443718359,0.02999998359448537,0.0,0.0,0.0,1.5707963284850703,0.0799999999941469,-0.0009182396572670094,0.029999983955280043,0.0,0.0,0.0,1.5707963283726238,0.037237216994312004,0.0037635144731237857,0.029999984874522108,0.0,0.0,0.0,1.5707963282976802,0.022838533302443283,0.0014287939453642533,0.029999986290480313,0.0,0.0,0.0,1.570796328470931,0.013532617238674364,0.00023243218489441692,0.029999988061408543,0.0,0.0,0.0,1.570796327626213,0.00574078210260906,0.0007669939818261331,0.02999998994443142,0.0,0.0,0.0,1.5707963257927648,0.0010091513306791327,0.0016646509090431777,0.02999999180886672,0.0,0.0,0.0,1.5707963245819534,-0.0001783516174331115,0.002525753452842736,0.029999994022378886,0.0,0.0,0.0,1.5707963292737137,-0.0001856634745429781,0.0023896140839217202,0.029999998698291147,0.0,0.0,0.0,1.5707963307215382,-0.00017827032781054053,0.0032902097083302127,0.030000009250390876,0.0,0.0,0.0,1.5707963245936818,-0.00017079048917246684,0.0019816531129234934,0.03000002977437432,0.0,0.0,0.0,1.5707948410522485,-0.0001631204797919078,0.0019816531129234934,0.03000002977437432,0.0,0.0,0.0,1.5707948410522485,-0.00015533463718601521
3,solved,0,lti,1,22,22,22,33,-0.01091823965726701,0.039999983955280045,0.0,0.0,0.0,2.0943951039709225,0.057237216994312,0.6621888790374039,-0.7079273176673905,-0.1,0.0005162896479045865,0.9986459504064534,-0.05201806994903612,0.00034580423357843953,0.020744744339558037,0.7773897571279875,-0.7101658652855701,-0.10000283093147254,-0.999850966500509,-0.017263502404285112,0.00012756463279372493,8.74777076132555e-05,0.08747770761325549,8.747772445258744e-05,0.08747772445258745,1,1.8146108080853693,0.33340945986674897,,19,0.887810421272348,1.2790669684029893e-05,0.012790669684029893,0.00398720933031597,3.98720933031597,36.503855883278455,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,1.8146108080853693,0.33340945986674897,-0.01091823965726701,0.039999983955280045,0.0,0.0,0.0,2.0943951039709225,0.057237216994312,0.7773897571279875,-0.7101658652855701,-0.10000283093147254,-0.999850966500509,-0.017263502404285112,0.00012756463279372493,0.7773888961071219,-0.7100783918154644,-0.10000288520976097,-0.9998817868533632,-0.015375289661681526,0.00011307849075620404,8.74777076132555e-05,0.08747770761325549,8.747772445258744e-05,0.08747772445258745,-0.01091823965726701,0.039999983955280045,0.0,0.0,0.0,2.0943951039709225,0.057237216994312,-0.0062364855268762145,0.03999998487452211,0.0,0.0,0.0,2.094395103895979,0.015616708693732936,-0.008571206054635747,0.039999986290480315,0.0,0.0,0.0,2.0943951040692297,0.005477383548207009,-0.009767567815105583,0.039999988061408545,0.0,0.0,0.0,2.0943951032245116,0.0007534637305492063,-0.009233006018173867,0.03999998994443142,0.0,0.0,0.0,2.0943951013910636,-0.0004249508781603658,-0.008335349090956823,0.03999999180886672,0.0,0.0,0.0,2.094395100180252,-0.00042286681418997487,-0.007474246547157264,0.03999999402237889,0.0,0.0,0.0,2.0943951048720124,-0.00040544465646955415,-0.00761038591607828,0.03999999869829115,0.0,0.0,0.0,2.094395106319837,-0.00038745959825226705,-0.0067097902916697875,0.04000000925039088,0.0,0.0,0.0,2.0943951001919805,-0.0003688789168013446,-0.008018346887076507,0.04000002977437432,0.0,0.0,0.0,2.0943936166505472,-0.0003495307237266448,-0.008018346887076507,0.04000002977437432,0.0,0.0,0.0,2.0943936166505472,-0.00032942167111742556,-0.008018346887076507,0.04000002977437432,0.0,0.0,0.0,2.0943936166505472,-0.00030844868133598797
4,solved,0,lti,1,23,23,23,34,0.0037635144731237857,0.04999998487452211,0.0,0.0,0.0,2.6179938794942776,0.014626539907794707,0.6622641493268664,-0.7069273179699,-0.1,0.0005070606287844468,0.9969420650516828,-0.07814174809228334,0.00035920062253695406,0.02103727513771393,0.7770994457054863,-0.7102921749574377,-0.10000249679692261,-0.9996574797596373,-0.026170586346157085,0.0001535282016820474,9.284937470298522e-05,0.09284937470298522,9.28493856534251e-05,0.09284938565342511,1,1.8144613446008269,0.2500431997504604,,20,0.5598600267210675,0.0009019913866927349,0.9019913866927349,0.0030980086133072654,3.0980086133072655,50.27359455877167,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,1.8144613446008269,0.2500431997504604,0.0037635144731237857,0.04999998487452211,0.0,0.0,0.0,2.6179938794942776,0.014626539907794707,0.7770994457054863,-0.7102921749574377,-0.10000249679692261,-0.9996574797596373,-0.026170586346157085,0.0001535282016820474,0.777097966892043,-0.710199337360024,-0.10000254189108088,-0.9997016833241975,-0.02442379960198069,0.0001495719505746621,9.284937470298522e-05,0.09284937470298522,9.28493856534251e-05,0.09284938565342511,0.0037635144731237857,0.04999998487452211,0.0,0.0,0.0,2.6179938794942776,0.014626539907794707,0.0014287939453642533,0.04999998629048032,0.0,0.0,0.0,2.6179938796675284,0.0051269361984399315,0.00023243218489441692,0.04999998806140855,0.0,0.0,0.0,2.6179938788228103,0.00041348296677082584,0.0007669939818261331,0.049999989944431424,0.0,0.0,0.0,2.6179938769893623,-0.0007512416015460465,0.0016646509090431777,0.049999991808866724,0.0,0.0,0.0,2.617993875778551,-0.0007347094348477107,0.002525753452842736,0.04999999402237889,0.0,0.0,0.0,2.617993880470311,-0.0007023035357831373,0.0023896140839217202,0.04999999869829115,0.0,0.0,0.0,2.6179938819181356,-0.0006683694358165018,0.0032902097083302127,0.05000000925039088,0.0,0.0,0.0,2.617993875790279,-0.0006326888609919903,0.0019816531129234934,0.05000002977437432,0.0,0.0,0.0,2.617992392248846,-0.0005949967478029007,0.0019816531129234934,0.05000002977437432,0.0,0.0,0.0,2.617992392248846,-0.000555072673609118,0.0019816531129234934,0.05000002977437432,0.0,0.0,0.0,2.617992392248846,-0.0005126414552279032,0.0019816531129234934,0.05000002977437432,0.0,0.0,0.0,2.617992392248846,-0.00046754108803330095
5,solved,0,lti,1,23,23,23,34,0.011428793945364253,0.05999998629048032,0.0,0.0,0.0,3.141592655265827,-0.0012947471931184786,0.6624927252057736,-0.7057273182440904,-0.1,0.0004955276607517212,0.9939956426986125,-0.10941789689353341,0.00037495053797019815,0.021011380193851563,0.7771291177866766,-0.7104378673494057,-0.10000222294937376,-0.9993223780190762,-0.03680699288269818,0.00017339328555641216,9.411490586183025e-05,0.09411490586183024,9.411491449339643e-05,0.09411491449339643,1,1.8144776763082628,0.2000382674250901,,20,0.6537423522186987,0.0012044160746923231,1.2044160746923231,0.0027955839253076768,2.795583925307677,50.78405613505079,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,1.8144776763082628,0.2000382674250901,0.011428793945364253,0.05999998629048032,0.0,0.0,0.0,3.141592655265827,-0.0012947471931184786,0.7771291177866766,-0.7104378673494057,-0.10000222294937376,-0.9993223780190762,-0.03680699288269818,0.00017339328555641216,0.7771269111294762,-0.7103437783162011,-0.10000226325716645,-0.9993828205741208,-0.035127596679752404,0.00017289540010545469,9.411490586183025e-05,0.09411490586183024,9.411491449339643e-05,0.09411491449339643,0.011428793945364253,0.05999998629048032,0.0,0.0,0.0,3.141592655265827,-0.0012947471931184786,0.010232432184894417,0.05999998806140855,0.0,0.0,0.0,3.141592654421109,0.004697959565615765,0.010766993981826133,0.059999989944431426,0.0,0.0,0.0,3.141592652587661,-4.859994417080324e-08,0.011664650909043178,0.059999991808866726,0.0,0.0,0.0,3.1415926513768495,-0.0011452024592878045,0.012525753452842736,0.05999999402237889,0.0,0.0,0.0,3.14159265606861,-0.0011073987730501474,0.01238961408392172,0.05999999869829115,0.0,0.0,0.0,3.1415926575164344,-0.00105143162909258,0.013290209708330213,0.06000000925039088,0.0,0.0,0.0,3.141592651388578,-0.000991230239560931,0.011981653112923494,0.060000029774374325,0.0,0.0,0.0,3.1415911678471446,-0.0009259834234033052,0.011981653112923494,0.060000029774374325,0.0,0.0,0.0,3.1415911678471446,-0.0008549775258684504,0.011981653112923494,0.060000029774374325,0.0,0.0,0.0,3.1415911678471446,-0.0007773229475532843,0.011981653112923494,0.060000029774374325,0.0,0.0,0.0,3.1415911678471446,-0.0006920918710205193,0.011981653112923494,0.060000029774374325,0.0,0.0,0.0,3.1415911678471446,-0.0005987152633753545
6,solved,0,lti,1,23,23,23,34,0.020232432184894417,0.06999998806140854,0.0,0.0,0.0,3.6651914300194077,-0.0016889480650186714,0.6628973738494716,-0.7043273184828622,-0.1,0.00048145528299590003,0.9893185914987251,-0.1457680979481119,0.00039285669011683094,0.02097760123255119,0.7771689884603737,-0.7106095454928771,-0.10000190967118495,-0.9987797317878668,-0.04938632288796939,0.00019616666900867006,9.46011564521288e-05,0.0946011564521288,9.460116372253497e-05,0.09460116372253496,1,1.814477341725277,0.16669738407274393,,20,0.5236142458493495,0.0012769606902793074,1.2769606902793074,0.0027230393097206927,2.7230393097206926,51.393783396482135,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,1.814477341725277,0.16669738407274393,0.020232432184894417,0.06999998806140854,0.0,0.0,0.0,3.6651914300194077,-0.0016889480650186714,0.7771689884603737,-0.7106095454928771,-0.10000190967118495,-0.9987797317878668,-0.04938632288796939,0.00019616666900867006,0.7771659144800067,-0.7105149942927431,-0.10000194675996649,-0.9988611179678698,-0.04771193386118284,0.0001959061082186399,9.46011564521288e-05,0.0946011564521288,9.460116372253497e-05,0.09460116372253496,0.020232432184894417,0.06999998806140854,0.0,0.0,0.0,3.6651914300194077,-0.0016889480650186714,0.020766993981826132,0.06999998994443142,0.0,0.0,0.0,3.6651914281859597,0.004165607014188843,0.021664650909043178,0.06999999180886672,0.0,0.0,0.0,3.665191426975148,-0.0005105434996638324,0.022525753452842738,0.06999999402237889,0.0,0.0,0.0,3.6651914316669085,-0.0016281020392553242,0.02238961408392172,0.06999999869829115,0.0,0.0,0.0,3.665191433114733,-0.0015588564589990913,0.023290209708330213,0.07000000925039088,0.0,0.0,0.0,3.6651914269868766,-0.0014665833290003784,0.021981653112923494,0.07000002977437432,0.0,0.0,0.0,3.6651899434454434,-0.0013639401008173067,0.021981653112923494,0.07000002977437432,0.0,0.0,0.0,3.6651899434454434,-0.001249066860794269,0.021981653112923494,0.07000002977437432,0.0,0.0,0.0,3.6651899434454434,-0.0011196861660806065,0.021981653112923494,0.07000002977437432,0.0,0.0,0.0,3.6651899434454434,-0.0009733085396812304,0.021981653112923494,0.07000002977437432,0.0,0.0,0.0,3.6651899434454434,-0.0008071584015559966,0.021981653112923494,0.07000002977437432,0.0,0.0,0.0,3.6651899434454434,-0.0006197250245142722
7,solved,0,lti,1,23,23,23,34,0.030766993981826134,0.07999998994443142,0.0,0.0,0.0,4.188790203784259,-0.00213107135408182,0.663512713729108,-0.7027273186839736,-0.1,0.00046458183419651405,0.9823466566150582,-0.18706859731566086,0.0004126733427649728,0.02093497980546955,0.7772209357617775,-0.710809033496777,-0.10000156208759098,-0.997945270279333,-0.06407174452932216,0.00022154024110099125,9.55904062149904e-05,0.09559040621499039,9.55904143829467e-05,0.0955904143829467,1,1.814477054566605,0.14288189706429835,,20,0.3670675771140807,0.001358725862141328,1.358725862141328,0.0026412741378586723,2.641274137858672,52.11520189583112,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,1.814477054566605,0.14288189706429835,0.030766993981826134,0.07999998994443142,0.0,0.0,0.0,4.188790203784259,-0.00213107135408182,0.7772209357617775,-0.710809033496777,-0.10000156208759098,-0.997945270279333,-0.06407174452932216,0.00022154024110099125,0.7772168102257129,-0.7107135321579774,-0.10000160160412659,-0.9980518693377526,-0.062389238171979756,0.00022152141578263268,9.55904062149904e-05,0.09559040621499039,9.55904143829467e-05,0.0955904143829467,0.030766993981826134,0.07999998994443142,0.0,0.0,0.0,4.188790203784259,-0.00213107135408182,0.03166465090904318,0.07999999180886672,0.0,0.0,0.0,4.188790202573447,0.003532300463886977,0.03252575345284274,0.07999999402237888,0.0,0.0,0.0,4.188790207265208,-0.0011127628407419689,0.03238961408392172,0.07999999869829115,0.0,0.0,0.0,4.188790208713032,-0.0021905066364060932,0.033290209708330215,0.08000000925039087,0.0,0.0,0.0,4.188790202585175,-0.0020739921796129055,0.031981653112923496,0.08000002977437431,0.0,0.0,0.0,4.1887887190437425,-0.0019243401034235942,0.031981653112923496,0.08000002977437431,0.0,0.0,0.0,4.1887887190437425,-0.0017520325874928865,0.031981653112923496,0.08000002977437431,0.0,0.0,0.0,4.1887887190437425,-0.001552089835946954,0.031981653112923496,0.08000002977437431,0.0,0.0,0.0,4.1887887190437425,-0.0013188556276160577,0.031981653112923496,0.08000002977437431,0.0,0.0,0.0,4.1887887190437425,-0.0010458384110546262,0.031981653112923496,0.08000002977437431,0.0,0.0,0.0,4.1887887190437425,-0.000726243388396546,0.031981653112923496,0.08000002977437431,0.0,0.0,0.0,4.1887887190437425,-0.0015577505009197344
8,solved,0,lti,1,23,23,23,34,0.04166465090904318,0.08999999180886671,4.957886037545096e-07,0.0,0.0,4.712388978171746,-0.0026707038225250016,0.6643460067472889,-0.7009273188477964,-0.1,0.0004446265137996233,0.9724439913419116,-0.23313579212005148,0.00043410002501797595,0.02088156572901905,0.7772881425516559,-0.7110391744029598,-0.10000119024383185,-0.9967043551855439,-0.08111945761769107,0.0002488975301930671,9.723041663872417e-05,0.09723041663872417,9.723042235190358e-05,0.09723042235190357,1,1.8143920897961034,0.12501438747574148,,20,0.1814877874507149,0.0014494779765467701,1.44947797654677,0.00255052202345323,2.55052202345323,52.95798046161457,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,1.8143920897961034,0.12501438747574148,0.04166465090904318,0.08999999180886671,4.957886037545096e-07,0.0,0.0,4.712388978171746,-0.0026707038225250016,0.7772881425516559,-0.7110391744029598,-0.10000119024383185,-0.9967043551855439,-0.08111945761769107,0.0002488975301930671,0.7772827369206331,-0.7109420943685913,-0.10000122357534337,-0.9968419235786717,-0.07941106544674817,0.0002491597593822178,9.723041663872417e-05,0.09723041663872417,9.723042235190358e-05,0.09723042235190357,0.04166465090904318,0.08999999180886671,4.957886037545096e-07,0.0,0.0,4.712388978171746,-0.0026707038225250016,0.04252575345284274,0.08999999402237888,4.957886037545096e-07,0.0,0.0,4.712388982863507,0.002789570338879026,0.04238961408392172,0.08999999869829114,4.957886037545096e-07,0.0,0.0,4.712388984311331,-0.0018102964740157451,0.04329020970833022,0.09000000925039087,4.957886037545096e-07,0.0,0.0,4.7123889781834745,-0.0028291428222640244,0.0419816531129235,0.09000002977437431,4.957886037545096e-07,0.0,0.0,4.712387494642042,-0.0026391276475062077,0.0419816531129235,0.09000002977437431,4.957886037545096e-07,0.0,0.0,4.712387494642042,-0.0023967593399286617,0.0419816531129235,0.09000002977437431,4.957886037545096e-07,0.0,0.0,4.712387494642042,-0.002106928659295843,0.0419816531129235,0.09000002977437431,4.957886037545358e-07,0.0,0.0,4.712387494642042,-0.0017582948792065217,0.02906835385048987,0.09000002977437431,4.957886300281513e-07,0.0,0.0,4.712387494642042,-0.0016179321298130627,0.026041799736322042,0.09000002977437431,5.220622993888679e-07,0.0,0.0,4.712387494642042,-0.0026246176183050926,0.026657771297287174,0.09000002977437431,4.320035125261395e-07,0.0,0.0,4.712387494642042,-0.002988441871597428,0.028171278014159903,0.09000002977437431,2.419665257483318e-07,0.0,0.0,4.712387494642042,-0.0029944653517618475
9,solved,0,lti,1,23,23,23,34,0.052525753452842744,0.09999999402237887,1.6320816763325553e-06,0.0,0.0,5.235987758461806,-0.0033550916797298273,0.6653965218163458,-0.6989273189673488,-0.1,0.0004212981286895417,0.9589099060265622,-0.28371007382283964,0.0004567750598017631,0.020814463895424455,0.7773752110445867,-0.7113041539256462,-0.10000080811913939,-0.9948952646485052,-0.10091251382388255,0.0002773692939882205,9.96753395588734e-05,0.0996753395588734,9.967534133481353e-05,0.09967534133481354,1,1.8143832430494313,0.11112321629952006,,19,1.0,0.0015153910809802297,1.5153910809802298,0.00248460891901977,2.48460891901977,40.58251082710964,0.01,0.01,0.0001,0.17453292519943295,0.17453292519943295,0.5235987755982988,0.02,solved,1.8143832430494313,0.11112321629952006,0.052525753452842744,0.09999999402237887,1.6320816763325553e-06,0.0,0.0,5.235987758461806,-0.0033550916797298273,0.7773752110445867,-0.7113041539256462,-0.10000080811913939,-0.9948952646485052,-0.10091251382388255,0.0002773692939882205,0.777368229220954,-0.7112047234099332,-0.1000008269349539,-0.995071858114051,-0.09915603817769059,0.0002779970403653563,9.96753395588734e-05,0.0996753395588734,9.967534133481353e-05,0.09967534133481354,0.052525753452842744,0.09999999402237887,1.6320816763325553e-06,0.0,0.0,5.235987758461806,-0.0033550916797298273,0.052389614083921725,0.09999999869829114,1.6320816763325555e-06,0.0,0.0,5.23598775990963,0.0019226333507447958,0.05329020970833022,0.10000000925039086,1.6320816763325555e-06,0.0,0.0,5.235987753781774,-0.0026099900345044544,0.0519816531129235,0.1000000297743743,1.6320816763325555e-06,0.0,0.0,5.235986270240341,-0.003538624242564624,0.0519816531129235,0.1000000297743743,1.6320816763325555e-06,0.0,0.0,5.235986270240341,-0.0032315830713632505,0.031981653112923496,0.1000000297743743,1.6320816763326305e-06,0.0,0.0,5.235986270240341,-0.0028349491492965116,0.031981653112923496,0.1000000297743743,1.6320817514208369e-06,0.0,0.0,5.235986270240341,-0.0029178285706613493,0.030316996014082585,0.1000000297743743,1.7071701118507815e-06,0.0,0.0,5.235986270240341,-0.002807209499336279,0.030467667044608522,0.1000000297743743,1.6066444635495072e-06,0.0,0.0,5.235986270240341,-0.003792003483723301,0.0324213402076883,0.1000000297743743,1.3316414306354706e-06,0.0,0.0,5.235986270240341,-0.003773794607579485,0.03434335499897598,0.1000000297743743,9.364262153417626e-07,0.0,0.0,5.235986270240341,-0.003777843419343317,0.03630926760077797,0.1000000297743743,4.747299850961022e-07,0.0,0.0,5.235986270240341,-0.0037713521632223965
