N_sqp,Np,bend_angle_deg,error,final_i_ref,final_infeasible,final_status,final_tip,jacobian_variant,log_csv_path,max_jac_cond,mean_jac_cond,mean_sqp_iters,n_steps,num_infeasible_steps,plant_contact,rollout_steps,run_name,solver_mode,success
5,12,-30.0,,41,0,solved,"[0.7587408178817527, -0.7037434464983457, -0.10002275123741841]",contact,runs_curvature_jacobian/bend_m30_jac_contact_plant_contact_1_lti_rollout1_Np12_sqp5/log.csv,237476669024815.34,212184734019115.75,1.0,19,0,True,1,bend_m30_jac_contact_plant_contact_1_lti_rollout1_Np12_sqp5,lti,True
5,12,-30.0,,41,0,solved,"[0.7551778379087163, -0.701690357880306, -0.10002301672249687]",contact,runs_curvature_jacobian/bend_m30_jac_contact_plant_contact_1_lti_rollout5_Np12_sqp5/log.csv,228462045743784.53,210098075954230.75,1.0,6,0,True,5,bend_m30_jac_contact_plant_contact_1_lti_rollout5_Np12_sqp5,lti,True
5,12,-30.0,,45,0,solved,"[0.7550010834795983, -0.7015833297780621, -0.10002354710467137]",contact,runs_curvature_jacobian/bend_m30_jac_contact_plant_contact_1_lti_rollout10_Np12_sqp5/log.csv,228557120416321.9,210500448694317.56,1.0,5,0,True,10,bend_m30_jac_contact_plant_contact_1_lti_rollout10_Np12_sqp5,lti,True
5,12,-30.0,,40,0,solved,"[0.7591104875035963, -0.7039506340195985, -0.10002209017261963]",contact,runs_curvature_jacobian/bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout1_Np12_sqp5/log.csv,238536418416222.94,211835084899194.12,1.0,20,0,True,1,bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout1_Np12_sqp5,ltv_oneshot,True
5,12,-30.0,,41,0,solved,"[0.7553304502132097, -0.7017756693672977, -0.10002177517315582]",contact,runs_curvature_jacobian/bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout5_Np12_sqp5/log.csv,230260473478777.03,210399234655704.47,1.0,6,0,True,5,bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout5_Np12_sqp5,ltv_oneshot,True
5,12,-30.0,,45,0,solved,"[0.7539903229899417, -0.7008021634386068, -0.10002369624405504]",contact,runs_curvature_jacobian/bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout10_Np12_sqp5/log.csv,228580560410346.2,210496045052283.44,1.0,5,0,True,10,bend_m30_jac_contact_plant_contact_1_ltv_oneshot_rollout10_Np12_sqp5,ltv_oneshot,True
5,12,-30.0,,40,0,solved,"[0.7616533748441138, -0.7001797956024978, -0.10000676609960917]",contact,runs_curvature_jacobian/bend_m30_jac_contact_plant_contact_1_sqp_full_rollout1_Np12_sqp5/log.csv,207234587405486.97,200869297984230.88,5.0,16,0,True,1,bend_m30_jac_contact_plant_contact_1_sqp_full_rollout1_Np12_sqp5,sqp_full,True
5,12,-30.0,,44,0,solved,"[0.7547814838105772, -0.7014438136044255, -0.1000279475153297]",contact,runs_curvature_jacobian/bend_m30_jac_contact_plant_contact_1_sqp_full_rollout5_Np12_sqp5/log.csv,238423899644098.47,214904435058303.75,5.0,6,0,True,5,bend_m30_jac_contact_plant_contact_1_sqp_full_rollout5_Np12_sqp5,sqp_full,True
5,12,-30.0,,27,1,primal infeasible,"[0.7720142017941465, -0.711362709331275, -0.09999949353014011]",contact,runs_curvature_jacobian/bend_m30_jac_contact_plant_contact_1_sqp_full_rollout10_Np12_sqp5/log.csv,233652024108192.75,216826022086694.2,2.5,2,1,True,10,bend_m30_jac_contact_plant_contact_1_sqp_full_rollout10_Np12_sqp5,sqp_full,True
5,12,-30.0,,40,0,solved,"[0.7606978936415285, -0.704847285082898, -0.10002491337405478]",no_contact,runs_curvature_jacobian/bend_m30_jac_no_contact_plant_contact_1_lti_rollout1_Np12_sqp5/log.csv,225256399895649.2,203208575120410.03,1.0,90,0,True,1,bend_m30_jac_no_contact_plant_contact_1_lti_rollout1_Np12_sqp5,lti,True
