node_index,s_m,insertion_m,position_error_m,position_error_mm,tangent_error_rad,tangent_error_deg,feasible,solver_success,termination_reason,function_evaluations,objective_value,jacobian_condition,jacobian_effective_rank,minimum_joint_margin_rad,minimum_state_margin,minimum_clearance_m,contact_active,source_magnet_lumen_distance_m,source_magnet_lumen_exclusion_radius_m,source_magnet_lumen_margin_m,source_magnet_lumen_segment_index,source_magnet_lumen_constraint_satisfied,delta_q_norm_rad,delta_insertion_m,attempt_count,chain_rule_relative_error,q1_rad,q2_rad,q3_rad,q4_rad,q5_rad,q6_rad,magnet_pose_x,magnet_pose_y,magnet_pose_z,magnet_pose_rx,magnet_pose_ry,magnet_pose_rz,tip_x,tip_y,tip_z,tip_tangent_x,tip_tangent_y,tip_tangent_z,desired_x,desired_y,desired_z,desired_tangent_x,desired_tangent_y,desired_tangent_z
0,0.0,0.034,0.0,0.0,9.996002811937589e-08,5.72728773124927e-06,1,1,fixed_initial_state_feasible_and_committed,1,3.890897655596555e-07,5010048.355832963,5,4.226776597179587,0.016,nan,0,0.24304465076466444,0.24,0.0030446507646644527,8,1,0.0,0.0,1,0.03170050818472975,-0.85634357,-1.94584002,-1.76176286,-1.0331945,1.56234264,-2.05640871,0.24557497783369636,-0.6700279629478505,-0.016566991220873295,-3.077932948039142,0.5753726959665791,0.045033578217205016,0.4915750000000001,-0.6700279993753606,-0.016566997954844186,-0.999999999999995,2.9506103442897364e-08,9.608369706488439e-08,0.4915750000000001,-0.6700279993753606,-0.016566997954844186,-1.0,0.0,0.0
1,0.00025,0.03417857660114333,7.142339899004376e-05,0.07142339899004375,3.0429032231363977e-07,1.7434551215247057e-05,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,19,0.007936897240426252,4873497.309322491,5,4.226776142416409,0.01582142339885667,nan,0,0.2430418958575964,0.24,0.0030418958575963995,8,1,4.615416526328089e-06,0.0001785766011433293,1,nan,-0.856340058983252,-1.9458398427604149,-1.7617631335166948,-1.0331916900940001,1.5623417646574507,-2.056409164763177,0.24557773477474007,-0.6700282839744314,-0.016567039063553834,-3.077936497424527,0.5753670392503084,0.045031157064347994,0.49139642339885753,-0.6700279986085763,-0.016566993670120506,-0.9999999999999537,6.541993959876979e-08,2.970250279503287e-07,0.4913250000000001,-0.6700279993753606,-0.016566997954844186,-1.0,0.0,0.0
2,0.0005,0.034408165097379394,9.183490262364415e-05,0.09183490262364415,1.237783411580038e-07,7.091976543484069e-06,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,17,0.013119500370237003,4701498.974210425,5,4.226776131424867,0.015591834902620609,nan,0,0.24304200729242703,0.24,0.0030420072924270403,8,1,1.1855079452713413e-07,0.00022958849623606198,1,nan,-0.856340148161467,-1.9458398658398204,-1.7617631790217803,-1.0331917106263866,1.562341710290437,-2.05640917575472,0.24557762335771385,-0.6700282872014466,-0.01656706941629671,-3.0779364590099867,0.5753671547620711,0.045031318228061896,0.49116683490262064,-0.6700279995134798,-0.016566997213339422,-0.9999999999999923,2.1279522087578322e-08,1.2205924903446124e-07,0.4910750000000001,-0.6700279993753606,-0.016566997954844186,-1.0,0.0,0.0
3,0.00075,0.034652332000778004,9.766799930722035e-05,0.09766799930722035,0.0073851042776424064,0.4231353063729204,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,20,0.014838624100995776,4527436.629460339,5,4.226776082424513,0.015347667999222,nan,0,0.24304207285879248,0.24,0.0030420728587924883,8,1,2.3689604067112484e-07,0.0002441669033986099,1,nan,-0.8563403169101457,-1.9458399293246185,-1.7617631024397167,-1.033191768732551,1.562341819703071,-2.0564092247550736,0.24557755797674982,-0.6700283174366221,-0.01656708428285958,-3.0779363100660646,0.5753673197828731,0.04503126373609205,0.49092266799922235,-0.6700280034405018,-0.01656699823161429,-0.9999999999999841,-1.6215872925032437e-07,7.38281119519121e-08,0.4908250000000001,-0.6700279993753606,-0.016566997954844186,-0.9999727314388829,0.007384874992841875,0.0
4,0.001,0.03490066499582909,9.933500632357736e-05,0.09933500632357736,0.02158662473871939,1.2368224914613144,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,19,0.01534934653752478,4363104.012100752,5,4.226773238966009,0.015099335004170912,nan,0,0.24304189093964235,0.24,0.0030418909396423555,8,1,3.18965401569264e-06,0.0002483329950510871,1,nan,-0.8563403749205283,-1.945839902904873,-1.7617627512802292,-1.0331924527310552,1.5623430417531232,-2.0564120682135774,0.24557774018663392,-0.6700283639729425,-0.01656698265479306,-3.077935949316642,0.5753628411207151,0.04503041425990679,0.49067433500418034,-0.670027986045968,-0.01656698220228662,-0.9999999999994524,6.51674825629844e-07,8.189192318249738e-07,0.4905750000000001,-0.6700279993753606,-0.016566997954844186,-0.9997670037972918,0.021585599787497276,0.0
5,0.00125,0.03515002832408671,9.977393870170568e-05,0.09977393870170567,0.05386039027898387,3.0859730459132226,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,25,0.015479520903933472,5260939.421305237,5,4.2267880814782774,0.014849971675913294,nan,0,0.243022287390151,0.24,0.0030222873901510072,8,1,0.000137828571698501,0.000249363328257618,1,nan,-0.8562745652388364,-1.9457937177041822,-1.7618266004929284,-1.0332605622708835,1.5624030150526893,-2.056397225701309,0.2455968018544582,-0.6699378000972529,-0.016566399299329237,-3.0778524254357054,0.5752667790079261,0.045076622580740154,0.49042497331222945,-0.6700184842091157,-0.016567016400135078,-0.9999999085183039,0.0004277415269754769,-7.549488703006305e-07,0.49032519939318886,-0.6700184243500767,-0.016566997954844186,-0.9985267612530038,0.054261469401286525,0.0
6,0.0015,0.03539971246431822,9.987851315049155e-05,0.09987851315049155,0.08772356349014092,5.026189951832992,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,23,0.015517282285421012,5653829.619482769,5,4.2268026278405255,0.01460028753568178,nan,0,0.24300189946574008,0.24,0.0030018994657400877,8,1,0.00014565785610219848,0.0002496841402315139,1,nan,-0.8562042911348233,-1.945744686959667,-1.761893803418461,-1.033333555873736,1.5624648038180884,-2.0563826793390603,0.24561665543191757,-0.6698424111769944,-0.01656534164407747,-3.077765569409611,0.5751625321346092,0.045127662304116654,0.4901752945733032,-0.6700081279883859,-0.01656702151030384,-0.9999996170111756,0.0008752008902569208,-9.507753696431112e-07,0.4900754161249158,-0.6700080167138986,-0.016566997954844186,-0.9960776962287788,0.08848289707942808,0.0
7,0.00175,0.03564786572001743,9.926251695052273e-05,0.09926251695052273,0.16438793488875236,9.418734871996888,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,25,0.015329182354611701,5600312.642254019,5,4.226853319041088,0.014352134279982574,nan,0,0.2429327892997742,0.24,0.0029327892997741967,8,1,0.0004859107695153552,0.0002481532556992058,1,nan,-0.8559703760874314,-1.9455814701670544,-1.7621180966187497,-1.0335746763113072,1.5626739382299368,-2.0563319881384983,0.24568425162393834,-0.6695237851007206,-0.016562393307127832,-3.0774739691891733,0.5748188747316761,0.04529270879048827,0.4899271868820579,-0.6699730292488942,-0.016567068691784106,-0.9999972990603401,0.0023241909310779923,-2.9224455480100194e-06,0.48982792492666843,-0.669972702936313,-0.016566997954844186,-0.9861356887033116,0.1659409637963012,0.0
8,0.002,0.03589368031637761,9.832477605245673e-05,0.09832477605245672,0.25816569738247064,14.791804875067172,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,25,0.015043036420591056,5285760.757385789,5,4.226920398912261,0.014106319683622394,nan,0,0.24283981611794966,0.24,0.002839816117949673,8,1,0.0006429805309328396,0.00024581459636018044,1,nan,-0.8556591818455921,-1.9453658782423073,-1.7624138934083462,-1.0338923315434723,1.5629517905875199,-2.0562649082673246,0.2457758633945503,-0.6691024125403704,-0.016558370457695815,-3.0770889744929852,0.574361933976715,0.045507746204022224,0.4896815000243449,-0.6699258394936509,-0.016567100136470704,-0.9999908137572444,0.004286301807569978,-4.235386565182552e-06,0.48958317668260554,-0.6699253183277618,-0.016566997954844186,-0.9657567089528809,0.25944937678186974,0.0
9,0.0022500000000000003,0.03613445236913199,9.630866673698718e-05,0.09630866673698718,0.3925052313945493,22.488893195713455,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,26,0.014437747405397943,5042836.61543119,5,4.227026169171369,0.01386554763086801,nan,0,0.24269017574134139,0.24,0.002690175741341394,8,1,0.0010055886134351642,0.0002407720527543844,1,nan,-0.8551676537805317,-1.9450310214201245,-1.7628733241758703,-1.034386581695564,1.5633887486388978,-2.056159138008217,0.2459248393418051,-0.6684437035748837,-0.016552325557728842,-3.0764882583553197,0.5736418893029477,0.04583800882246451,0.4894410857428019,-0.6698508948958951,-0.016567140645184223,-0.999972816641025,0.007373326524825132,-5.9138252383575355e-06,0.48934478101632195,-0.6698500354857776,-0.016566997954844186,-0.9211082529908349,0.38930654537545645,0.0
10,0.0025000000000000005,0.036358868543403304,8.976729457591437e-05,0.08976729457591437,0.5970098308808771,34.2061436372933,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,23,0.012557447856120238,4813161.807472433,5,4.227197776533563,0.013641131456596699,nan,0,0.2424453181411558,0.24,0.002445318141155811,8,1,0.0015837773565657031,0.00022441617427131078,1,nan,-0.8543866997909008,-1.9445078788086743,-1.7635916547541668,-1.035154659213926,1.5640883145104543,-2.055987530646023,0.2461722779418344,-0.6674062648123511,-0.01654416898261646,-3.0755409782000984,0.5725065333493413,0.04633434359248861,0.48921763225340636,-0.6697312400356639,-0.01656721235180182,-0.9999247777768768,0.012265345865210353,-8.869632240244903e-06,0.4891278749795277,-0.6697299160283777,-0.016566997954844186,-0.8200628541863327,0.5722734618901751,0.0
11,0.0027500000000000007,0.03655981648604372,8.044402899323933e-05,0.08044402899323934,0.8296381642491036,47.53476533445502,1,1,scipy_slsqp_status_0: Optimization terminated successfully; exclusion_jacobian=magnet_position_jacobian; fresh_postvalidated_and_committed,25,0.010092178691405745,4709170.490966375,5,4.227410612329832,0.013440183513956282,nan,0,0.24210637403953708,0.24,0.00210637403953709,8,1,0.002040270259419706,0.00020094794264041704,1,nan,-0.8533517937538514,-1.94384663890013,-1.7644993880361568,-1.0361331502168212,1.5649981005177918,-2.0557746948497537,0.24652107254220354,-0.6660732915261443,-0.016534625050764695,-3.0743344099969634,0.5709903957078916,0.04694814183735065,0.4890186648538242,-0.6695746710534033,-0.01656726104587942,-0.999826749599318,0.01861372256949965,-1.085210976180503e-05,0.48893824160396304,-0.6695728617813016,-0.016566997954844186,-0.6612946536142928,0.7501262434424971,0.0
